tsebe	ts> E b E
tshitshinyong	tsh i tsh i J O N
lomaganye	l O m a x a J E
barutwaneng	b a r u t> w a n E N
betwa	b E t> w a
kutung	k> u t> u N
busetse	b u s E ts> E
nkeletsa	n k> E l E ts> a
tlhobaela	tlh O b a E l a
motšhotšhisi	m O tSh O tSh i s i
amogelegileng	a m O x E l E x i l E N
dingwageng	d i N w a x E N
mahibidu	m a h i b i d u
athikele	a th i k> E l E
bolemisi	b O l E m i s i
matlwana	m a tl> w a n a
reediwe	r E E d i w E
pharakano	ph a r a k> a n O
iphetlha	i ph E tlh a
lemogwang	l E m O x w a N
swedietega	s w E d i E t> E x a
phaposo	ph a p> O s O
tsoma	ts> O m a
gapilwe	x a p> i l w E
ntetle	n t> E tl> E
fetoletsweng	f E t> O l E ts> w E N
letetse	l E t> E ts> E
tsholeditswe	tsh O l E d i ts> w E
diradiong	d i r a d i O N
magetla	m a x E tl> a
tlhakatlhakane	tlh a k> a tlh a k> a n E
polasing	p> O l a s i N
tlhagetseng	tlh a x E ts> E N
dikanelo	d i k> a n E l O
ferekana	f E r E k> a n a
seela	s E E l a
boithaopi	b O i th a O p> i
morobi	m O r O b i
tshelegelwa	tsh E l E x E l w a
marurung	m a r u r u N
matšhaena	m a tSh a E n a
ntsaya	n ts> a j a
molelwaneng	m O l E l w a n E N
sometlhano	s O m E tlh a n O
mabala	m a b a l a
kgatlhilwe	kx a tlh i l w E
dipokanong	d i p> O k> a n O N
gobelelang	x O b E l E l a N
tekelo	t> E k> E l O
maragonyana	m a r a x O J a n a
tsamaelano	ts> a m a E l a n O
tlhokisang	tlh O k> i s a N
obotse	O b O ts> E
botlase	b O tl> a s E
rotloetsa	r O tl> O E ts> a
mogoteng	m O x O t> E N
ikanyego	i k> a J E x O
hudugela	h u d u x E l a
kgorelediwa	kx O r E l E d i w a
buelela	b u E l E l a
okobala	O k> O b a l a
matlhakore	m a tlh a k> O r E
losika	l O s i k> a
kwaleng	k> w a l E N
kopanyo	k> O p> a J O
natefelwe	n a t> E f E l w E
melapo	m E l a p> O
segerika	s E x E r i k> a
sekolotong	s E k> O l O t> O N
dikabelong	d i k> a b E l O N
thutapuo	th u t> a p> u O
tebelopele	t> E b E l O p> E l E
diilwe	d i i l w E
tshedile	tsh E d i l E
dikgolwane	d i kx O l w a n E
jwalang	d0Z w a l a N
bonnong	b O n n O N
setlhopha	s E tlh O ph a
bokamosong	b O k> a m O s O N
thelesetso	th E l E s E ts> O
mosibudi	m O s i b u d i
modiredipuso	m O d i r E d i p> u s O
sekhutlo	s E kh u tl> O
dipoloma	d i p> O l O m a
babadi	b a b a d i
gapeletsang	x a p> E l E ts> a N
sedimositsweng	s E d i m O s i ts> w E N
kotlhaong	k> O tlh a O N
dikatlego	d i k> a tl> E x O
difantising	d i f a n t> i s i N
supetsa	s u p> E ts> a
rekelang	r E k> E l a N
tlhajwe	tlh a d0Z w E
infoleišene	i n f O l E i S E n E
latofadiwang	l a t> O f a d i w a N
beeleditse	b E E l E d i ts> E
minolosa	m i n O l O s a
atlana	a tl> a n a
sekasekelwang	s E k> a s E k> E l w a N
gobadiwa	x O b a d i w a
diphatlha	d i ph a tlh a
kaneding	k> a n E d i N
tetlelo	t> E tl> E l O
anamisiwa	a n a m i s i w a
phopholego	ph O ph O l E x O
nkwe	n k> w E
iletsa	i l E ts> a
fedisiwa	f E d i s i w a
ditsebetsebe	d i ts> E b E ts> E b E
tlhaeletsanang	tlh a E l E ts> a n a N
nke	n k> E
itshepa	i tsh E p> a
dikaing	d i k> a i N
botaki	b O t> a k> i
rotloetswa	r O tl> O E ts> w a
phasalalo	ph a s a l a l O
bontshitsweng	b O n tsh i ts> w E N
tlaa	tl> a
mogote	m O x O t> E
sanetasi	s a n E t> a s i
relela	r E l E l a
mokwadi	m O k> w a d i
gorarabolola	x O r a r a b O l O l a
kgobalang	kx O b a l a N
sepatšhe	s E p> a tSh E
legadima	l E x a d i m a
mogwere	m O x w E r E
diragaditse	d i r a x a d i ts> E
kgopololo	kx O p> O l O l O
amogetse	a m O x E ts> E
laleditse	l a l E d i ts> E
ithaya	i th a j a
lethekeng	l E th E k> E N
iphitlha	i ph i tlh a
ikano	i k> a n O
khemo	kh E m O
dithuto	d i th u t> O
gobadiwang	x O b a d i w a N
tsoga	ts> O x a
rarabololang	r a r a b O l O l a N
faboriking	f a b O r i k> i N
diforamong	d i f O r a m O N
dipotso	d i p> O ts> O
bolokwa	b O l O k> w a
akanyeditsweng	a k> a J E d i ts> w E N
ramolao	r a m O l a O
otlhaiwang	O tlh a i w a N
ntshiwang	n tsh i w a N
boruni	b O r u n i
itshekisa	i tsh E k> i s a
kwadisiwang	k> w a d i s i w a N
aname	a n a m E
diforomong	d i f O r O m O N
modirisi	m O d i r i s i
swabang	s w a b a N
sešweng	s E S w E N
thulagano	th u l a x a n O
ditumelo	d i t> u m E l O
kgopisa	kx O p> i s a
kapeso	k> a p> E s O
tlhobaelang	tlh O b a E l a N
kgosi	kx O s i
mafokonyana	m a f O k> O J a n a
matloleng	m a tl> O l E N
poelo	p> O E l O
marata	m a r a t> a
omisang	O m i s a N
pinagareng	p> i n a x a r E N
bolwetse	b O l w E ts> E
memetso	m E m E ts> O
bouto	b O u t> O
mokgotledi	m O kx O tl> E d i
fete	f E t> E
lepatlelo	l E p> a tl> E l O
tshutiso	tsh u t> i s O
sia	s i a
rekilwe	r E k> i l w E
lemena	l E m E n a
laolang	l a O l a N
polokong	p> O l O k> O N
dithabeng	d i th a b E N
tona	t> O n a
bafetoledi	b a f E t> O l E d i
bontshana	b O n tsh a n a
tshegetse	tsh E x E ts> E
farologanngwang	f a r O l O x a n N w a N
kgethololwa	kx E th O l O l w a
ngwanyana	N w a J a n a
rekisitsweng	r E k> i s i ts> w E N
khabareitara	kh a b a r E i t> a r a
lengope	l E N O p> E
potlaka	p> O tl> a k> a
katologana	k> a t> O l O x a n a
ikaniso	i k> a n i s O
ureng	u r E N
tshipi	tsh i p> i
dirisitse	d i r i s i ts> E
tlhomamisong	tlh O m a m i s O N
phatlheng	ph a tlh E N
kgweetsang	kx w E E ts> a N
ikamanye	i k> a m a J E
kgoreletso	kx O r E l E ts> O
matikiri	m a t> i k> i r i
marose	m a r O s E
dikhutshwe	d i kh u tsh w E
thapama	th a p> a m a
alafegang	a l a f E x a N
nyalelanang	J a l E l a n a N
lebilwe	l E b i l w E
mmakatsa	m m a k> a ts> a
mekgokolosa	m E kx O k> O l O s a
tlhageletseng	tlh a x E l E ts> E N
tlhalosegang	tlh a l O s E x a N
ipetlela	i p> E tl> E l a
thota	th O t> a
seng	s E N
mokibo	m O k> i b O
madi	m a d i
lekese	l E k> E s E
diporofense	d i p> O r O f E n s E
kgosikgolo	kx O s i kx O l O
dithata	d i th a t> a
thiba	th i b a
batlegang	b a tl> E x a N
meleele	m E l E E l E
segwapa	s E x w a p> a
felelwa	f E l E l w a
mookameding	m O O k> a m E d i N
thuntshe	th u n tsh E
ntswalang	n ts> w a l a N
kholomong	kh O l O m O N
mathompo	m a th O m p> O
leotwana	l E O t> w a n a
ikgone	i kx O n E
boamogelo	b O a m O x E l O
tlhakanetsweng	tlh a k> a n E ts> w E N
ditikologong	d i t> i k> O l O x O N
okeditse	O k> E d i ts> E
bagolwane	b a x O l w a n E
maitirelo	m a i t> i r E l O
itekela	i t> E k> E l a
matlhabisaditlhong	m a tlh a b i s a d i tlh O N
kgamilwe	kx a m i l w E
tumelelano	t> u m E l E l a n O
laleditswe	l a l E d i ts> w E
moepong	m O E p> O N
bokwadi	b O k> w a d i
nepagatseng	n E p> a x a ts> E N
tsalela	ts> a l E l a
tsebentlha	ts> E b E n tlh a
balela	b a l E l a
kgwatlha	kx w a tlh a
diphuka	d i ph u k> a
keleka	k> E l E k> a
tsweledisiwang	ts> w E l E d i s i w a N
intshe	i n tsh E
kgatsho	kx a tsh O
bodilong	b O d i l O N
masimo	m a s i m O
goang	x O a N
itemogelang	i t> E m O x E l a N
thusopotlako	th u s O p> O tl> a k> O
thuntse	th u n ts> E
mathateng	m a th a t> E N
badiri	b a d i r i
serobe	s E r O b E
lekgotlataolo	l E kx O tl> a t> a O l O
tshegetsong	tsh E x E ts> O N
rulagantseng	r u l a x a n ts> E N
kopa	k> O p> a
owaai	O w a i
emelelang	E m E l E l a N
ditiragatso	d i t> i r a x a ts> O
otong	O t> O N
dinyaga	d i J a x a
moatlhodisi	m O a tlh O d i s i
momaganeng	m O m a x a n E N
ditekanyetsokabo	d i t> E k> a J E ts> O k> a b O
fodisang	f O d i s a N
phimolo	ph i m O l O
pelokgale	p> E l O kx a l E
iponetse	i p> O n E ts> E
maitsetsepelo	m a i ts> E ts> E p> E l O
dikokelo	d i k> O k> E l O
petse	p> E ts> E
tiego	t> i E x O
sego	s E x O
baletsweng	b a l E ts> w E N
letlhakoreng	l E tlh a k> O r E N
ditlhapa	d i tlh a p> a
sepoko	s E p> O k> O
itshiametseng	i tsh i a m E ts> E N
robale	r O b a l E
bopiwa	b O p> i w a
legolwane	l E x O l w a n E
ikatisong	i k> a t> i s O N
letamong	l E t> a m O N
laela	l a E l a
phasaladiwang	ph a s a l a d i w a N
tsorotla	ts> O r O tl> a
beile	b E i l E
kano	k> a n O
dikgaolong	d i kx a O l O N
itlhagise	i tlh a x i s E
phatlaladiwa	ph a tl> a l a d i w a
rutlega	r u tl> E x a
diatleletiking	d i a tl> E l E t> i k> i N
feela	f E E l a
duedisiwa	d u E d i s i w a
tlhatlhelo	tlh a tlh E l O
kganetsanong	kx a n E ts> a n O N
kateleng	k> a t> E l E N
rulaganngwang	r u l a x a n N w a N
tlhoboganong	tlh O b O x a n O N
peterolong	p> E t> E r O l O N
mosamong	m O s a m O N
sekwalo	s E k> w a l O
moretologa	m O r E t> O l O x a
godise	x O d i s E
thefosanyo	th E f O s a J O
kgabaganya	kx a b a x a J a
pakeng	p> a k> E N
elelang	E l E l a N
malwetsenyana	m a l w E ts> E J a n a
batlhokwa	b a tlh O k> w a
halofo	h a l O f O
dipotefolio	d i p> O t> E f O l i O
aka	a k> a
tlhalefa	tlh a l E f a
belaele	b E l a E l E
robaditse	r O b a d i ts> E
kwelano	k> w E l a n O
modulasetilo	m O d u l a s E t> i l O
opelelwa	O p> E l E l w a
itlhophetseng	i tlh O ph E ts> E N
tshwarelwa	tsh w a r E l w a
tshwantshiso	tsh w a n tsh i s O
gobo	x O b O
thusaneng	th u s a n E N
mpha	m ph a
namatshega	n a m a tsh E x a
ka	k> a
etegetse	E t> E x E ts> E
ntlhabela	n tlh a b E l a
botlhankedi	b O tlh a n k> E d i
dikwalwa	d i k> w a l w a
magang	m a x a N
tlhatlogile	tlh a tl> O x i l E
kuku	k> u k> u
tlotlanong	tl> O tl> a n O N
gakiwa	x a k> i w a
ntseele	n ts> E E l E
tadi	t> a d i
tshasitswe	tsh a s i ts> w E
lebanang	l E b a n a N
dikgolagano	d i kx O l a x a n O
rulaganngwa	r u l a x a n N w a
tlhatlositse	tlh a tl> O s i ts> E
tlhatlhobile	tlh a tlh O b i l E
somarelang	s O m a r E l a N
taolong	t> a O l O N
mokeresete	m O k> E r E s E t> E
polase	p> O l a s E
mangwe	m a N w E
tlhonama	tlh O n a m a
abileng	a b i l E N
bopele	b O p> E l E
phefo	ph E f O
tlhabololwe	tlh a b O l O l w E
dilekanyetsong	d i l E k> a J E ts> O N
senoge	s E n O x E
nnaka	n n a k> a
moše	m O S E
tswelediseng	ts> w E l E d i s E N
khutsana	kh u ts> a n a
tlhokileng	tlh O k> i l E N
setšhabeng	s E tSh a b E N
golaganngwang	x O l a x a n N w a N
tlamega	tl> a m E x a
gokaganye	x O k> a x a J E
fapaana	f a p> a n a
beileng	b E i l E N
ngotlega	N O tl> E x a
kgobokantswe	kx O b O k> a n ts> w E
tlanya	tl> a J a
seithati	s E i th a t> i
robile	r O b i l E
thibelela	th i b E l E l a
porofensi	p> O r O f E n s i
raelwa	r a E l w a
tomagano	t> O m a x a n O
kgwebisanong	kx w E b i s a n O N
tolwe	t> O l w E
tumanosi	t> u m a n O s i
dirisana	d i r i s a n a
kaelwang	k> a E l w a N
bothato	b O th a t> O
fetisetswang	f E t> i s E ts> w a N
tlhodie	tlh O d i E
bodutiso	b O d u t> i s O
kemeding	k> E m E d i N
gogwa	x O x w a
rapela	r a p> E l a
itshupileng	i tsh u p> i l E N
kgobokano	kx O b O k> a n O
terasete	t> E r a s E t> E
tsamaele	ts> a m a E l E
tagwa	t> a x w a
tlelaemete	tl> E l a E m E t> E
ikgapela	i kx a p> E l a
etleetsa	E tl> E E ts> a
tshologa	tsh O l O x a
marama	m a r a m a
matsenong	m a ts> E n O N
abelela	a b E l E l a
kona	k> O n a
tlhokelwang	tlh O k> E l w a N
ditšhaba	d i tSh a b a
hemisefere	h E m i s E f E r E
ditemalo	d i t> E m a l O
pagolola	p> a x O l O l a
gadikilweng	x a d i k> i l w E N
khomphutara	kh O m ph u t> a r a
seabe	s E a b E
dikotaseng	d i k> O t> a s E N
masaka	m a s a k> a
lekwalokaong	l E k> w a l O k> a O N
bonyana	b O J a n a
meroba	m E r O b a
weditswe	w E d i ts> w E
senyaka	s E J a k> a
ikaelelang	i k> a E l E l a N
tswelelela	ts> w E l E l E l a
tlhaolwa	tlh a O l w a
dikai	d i k> a i
tshwaetsegong	tsh w a E ts> E x O N
maitato	m a i t> a t> O
pherekano	ph E r E k> a n O
bolokesega	b O l O k> E s E x a
methamo	m E th a m O
phepa	ph E p> a
ntšhwa	n tSh w a
dikgaisanong	d i kx a i s a n O N
bopama	b O p> a m a
arolwa	a r O l w a
kgobang	kx O b a N
abelanwa	a b E l a n w a
digopo	d i x O p> O
mogadibo	m O x a d i b O
kagong	k> a x O N
farolola	f a r O l O l a
dijalo	d i d0Z a l O
kukama	k> u k> a m a
mmegela	m m E x E l a
thateng	th a t> E N
sotla	s O tl> a
ntlha	n tlh a
ganeng	x a n E N
matlase	m a tl> a s E
kokoanyo	k> O k> O a J O
tatofatso	t> a t> O f a ts> O
mangweng	m a N w E N
kgotlakgolo	kx O tl> a kx O l O
motlhankeding	m O tlh a n k> E d i N
polotiking	p> O l O t> i k> i N
barutegi	b a r u t> E x i
diponelopele	d i p> O n E l O p> E l E
maikwatlhao	m a i k> w a tlh a O
fokolang	f O k> O l a N
rarabolotse	r a r a b O l O ts> E
dumelanweng	d u m E l a n w E N
itshiela	i tsh i E l a
fetoleng	f E t> O l E N
kopelo	k> O p> E l O
direlang	d i r E l a N
leofile	l E O f i l E
bepa	b E p> a
bakega	b a k> E x a
rakgwebo	r a kx w E b O
legong	l E x O N
sephatlo	s E ph a tl> O
batlana	b a tl> a n a
modikologa	m O d i k> O l O x a
bolosika	b O l O s i k> a
phimotsweng	ph i m O ts> w E N
busiwa	b u s i w a
baakanye	b a k> a J E
saleng	s a l E N
tiiseng	t> i i s E N
lebatsa	l E b a ts> a
karo	k> a r O
fiwe	f i w E
segolosetonna	s E x O l O s E t> O n n a
kgaolwa	kx a O l w a
tsamae	ts> a m a E
netefaditsweng	n E t> E f a d i ts> w E N
pharologanyo	ph a r O l O x a J O
bese	b E s E
ntsholela	n tsh O l E l a
ntebile	n t> E b i l E
mogogi	m O x O x i
moroko	m O r O k> O
atamelaneng	a t> a m E l a n E N
gorosiwa	x O r O s i w a
mmakgonthe	m m a kx O n th E
netefatsong	n E t> E f a ts> O N
matshwaong	m a tsh w a O N
itshidilola	i tsh i d i l O l a
dipusong	d i p> u s O N
dinku	d i n k> u
morwalo	m O r w a l O
tshwenyana	tsh w E J a n a
bogodimong	b O x O d i m O N
kumola	k> u m O l a
dirisiwang	d i r i s i w a N
moropa	m O r O p> a
huduga	h u d u x a
monwaneng	m O n w a n E N
setshwao	s E tsh w a O
beetsweng	b E E ts> w E N
matlhaka	m a tlh a k> a
tekanyetso	t> E k> a J E ts> O
bonala	b O n a l a
kuta	k> u t> a
legammana	l E x a m m a n a
dintlha	d i n tlh a
tshwaragantseng	tsh w a r a x a n ts> E N
ntaela	n t> a E l a
tsenya	ts> E J a
letlhale	l E tlh a l E
tlhabologo	tlh a b O l O x O
bosometlhano	b O s O m E tlh a n O
ditomo	d i t> O m O
boro	b O r O
selefatshe	s E l E f a tsh E
melamu	m E l a m u
setatšhe	s E t> a tSh E
anamang	a n a m a N
patagantsweng	p> a t> a x a n ts> w E N
mothopi	m O th O p> i
raraaneng	r a r a n E N
batlela	b a tl> E l a
dikoleke	d i k> O l E k> E
fale	f a l E
maphataphata	m a ph a t> a ph a t> a
nyeletsong	J E l E ts> O N
ageng	a x E N
setlogolwana	s E tl> O x O l w a n a
emelela	E m E l E l a
bathonyana	b a th O J a n a
borukhu	b O r u kh u
boammaaruri	b O a m m a r u r i
dikoloto	d i k> O l O t> O
batlisisitsweng	b a tl> i s i s i ts> w E N
bolelang	b O l E l a N
ditlhaelo	d i tlh a E l O
tshwaro	tsh w a r O
lesira	l E s i r a
tlhaelo	tlh a E l O
ngokwa	N O k> w a
tsee	ts> E E
pholong	ph O l O N
ditoropo	d i t> O r O p> O
setsidifatsi	s E ts> i d i f a ts> i
mmabontle	m m a b O n tl> E
fetisetse	f E t> i s E ts> E
lesoba	l E s O b a
melaetseng	m E l a E ts> E N
segalo	s E x a l O
swaa	s w a
khutliso	kh u tl> i s O
ditshutiso	d i tsh u t> i s O
polelwaneng	p> O l E l w a n E N
mofu	m O f u
lepalepana	l E p> a l E p> a n a
diminerale	d i m i n E r a l E
tlhotlhweng	tlh O tlh w E N
bontshitse	b O n tsh i ts> E
itsitse	i ts> i ts> E
phepafadiwa	ph E p> a f a d i w a
khutlopono	kh u tl> O p> O n O
itirelang	i t> i r E l a N
gogang	x O x a N
talelo	t> a l E l O
aroganye	a r O x a J E
ntshwafatswa	n tsh w a f a ts> w a
ngaparela	N a p> a r E l a
kgaolelwa	kx a O l E l w a
mapai	m a p> a i
borogo	b O r O x O
ntshegetsa	n tsh E x E ts> a
diteleko	d i t> l E k> O
siamela	s i a m E l a
utswilwe	u ts> w i l w E
fetlhang	f E tlh a N
gammogo	x a m m O x O
palokgolo	p> a l O kx O l O
letlhomeso	l E tlh O m E s O
omisiwa	O m i s i w a
siametse	s i a m E ts> E
khurumeditsweng	kh u r u m E d i ts> w E N
ledi	l E d i
moelatlhoko	m O E l a tlh O k> O
itsalantse	i ts> a l a n ts> E
pholesing	ph O l E s i N
makuku	m a k> u k> u
morula	m O r u l a
tlhoba	tlh O b a
kgatinya	kx a t> i J a
mmaarona	m m a r O n a
malobeng	m a l O b E N
ipaakanyetsa	i p> a k> a J E ts> a
arogantswe	a r O x a n ts> w E
pelwana	p> E l w a n a
bosusu	b O s u s u
tshaso	tsh a s O
maineng	m a i n E N
moswelwa	m O s w E l w a
temekang	t> E m E k> a N
kgakgamalo	kx a kx a m a l O
kolo	k> O l O
mantsi	m a n ts> i
bopiwang	b O p> i w a N
thusegileng	th u s E x i l E N
dinaong	d i n a O N
fetolaka	f E t> O l a k> a
lebagana	l E b a x a n a
rothisa	r O th i s a
intatola	i n t> a t> O l a
tlisiwe	tl> i s i w E
dintha	d i n th a
idibala	i d i b a l a
tshenkelo	tsh E n k> E l O
lekane	l E k> a n E
selekanyi	s E l E k> a J i
nolofetse	n O l O f E ts> E
mokaloba	m O k> a l O b a
dipolantere	d i p> O l a n t> E r E
kganelwa	kx a n E l w a
ngangisana	N a N i s a n a
lobopo	l O b O p> O
tlhamiwa	tlh a m i w a
mefutafuta	m E f u t> a f u t> a
dikhai	d i kh a i
bokgarebe	b O kx a r E b E
kgabola	kx a b O l a
dikapolelo	d i k> a p> O l E l O
adima	a d i m a
kgotlela	kx O tl> E l a
dumella	d u m E l l a
batsereganyi	b a ts> E r E x a J i
saletseng	s a l E ts> E N
letlojana	l E tl> O d0Z a n a
dipharologantsho	d i ph a r O l O x a n tsh O
tsamaeng	ts> a m a E N
boikaelelo	b O i k> a E l E l O
tsoge	ts> O x E
kgathalelwe	kx a th a l E l w E
dihotele	d i h O t> E l E
semanego	s E m a n E x O
sofeng	s O f E N
phokoje	ph O k> O d0Z E
apolele	a p> O l E l E
dikwalo	d i k> w a l O
baoking	b a O k> i N
atlegang	a tl> E x a N
komelelong	k> O m E l E l O N
weditseng	w E d i ts> E N
loroleng	l O r O l E N
nitamang	n i t> a m a N
magatwegatwe	m a x a t> w E x a t> w E
ipoeletsa	i p> O E l E ts> a
tabogela	t> a b O x E l a
dirisang	d i r i s a N
dikhampani	d i kh a m p> a n i
kgokologa	kx O k> O l O x a
mogaeno	m O x a E n O
ikutlwile	i k> u tl> w i l E
semmuso	s E m m u s O
ditumelanong	d i t> u m E l a n O N
mpona	m p> O n a
itsholetse	i tsh O l E ts> E
dikemedi	d i k> E m E d i
tswelediwa	ts> w E l E d i w a
mong	m O N
jegang	d0Z E x a N
mokana	m O k> a n a
matlapana	m a tl> a p> a n a
mpolokeng	m p> O l O k> E N
maphanyego	m a ph a J E x O
dithobong	d i th O b O N
peipi	p> E i p> i
itshola	i tsh O l a
kgotsofatsa	kx O ts> O f a ts> a
rapelela	r a p> E l E l a
ngodiego	N O d i E x O
latlhiweng	l a tlh i w E N
letloa	l E tl> O a
ditennye	d i t> E n J E
boteng	b O t> E N
setilong	s E t> i l O N
itaya	i t> a j a
ake	a k> E
betswe	b E ts> w E
tlhophe	tlh O ph E
seemong	s E E m O N
mešwa	m E S w a
polatefomong	p> O l a t> E f O m O N
direle	d i r E l E
dingatana	d i N a t> a n a
solegelwang	s O l E x E l w a N
tsadisa	ts> a d i s a
motswako	m O ts> w a k> O
mamphorwana	m a m ph O r w a n a
tlhaloganyong	tlh a l O x a J O N
thomelong	th O m E l O N
swang	s w a N
phokoletsong	ph O k> O l E ts> O N
leineng	l E i n E N
kgala	kx a l a
tsholetsa	tsh O l E ts> a
balekane	b a l E k> a n E
batlile	b a tl> i l E
maribe	m a r i b E
tlhokega	tlh O k> E x a
mang	m a N
bogela	b O x E l a
dumisiwa	d u m i s i w a
lebileng	l E b i l E N
botsenong	b O ts> E n O N
baithutedi	b a i th u t> E d i
leboteng	l E b O t> E N
lemosegile	l E m O s E x i l E
leferefere	l E f E r E f E r E
segwere	s E x w E r E
phenyo	ph E J O
bolokega	b O l O k> E x a
manaanethuto	m a n a n E th u t> O
boramatlotlo	b O r a m a tl> O tl> O
itlwaetsa	i tl> w a E ts> a
dikgogola	d i kx O x O l a
matsele	m a ts> E l E
ditsholofelo	d i tsh O l O f E l O
akaretsa	a k> a r E ts> a
fetolelwe	f E t> O l E l w E
bitsakaka	b i ts> a k> a k> a
folosetswa	f O l O s E ts> w a
agela	a x E l a
tshedileng	tsh E d i l E N
kutleng	k> u tl> E N
phatlalatswa	ph a tl> a l a ts> w a
molato	m O l a t> O
tshikeng	tsh i k> E N
bodiragatsi	b O d i r a x a ts> i
nyalelana	J a l E l a n a
khurumela	kh u r u m E l a
botsi	b O ts> i
iketse	i k> E ts> E
badirising	b a d i r i s i N
ikimetsa	i k> i m E ts> a
isetsa	i s E ts> a
botokololo	b O t> O k> O l O l O
kuke	k> u k> E
kgokagano	kx O k> a x a n O
ntshwentse	n tsh w E n ts> E
ditshiamelong	d i tsh i a m E l O N
dipuleng	d i p> u l E N
molamu	m O l a m u
botlhodi	b O tlh O d i
phelelo	ph E l E l O
thulo	th u l O
rotseng	r O ts> E N
balelapa	b a l E l a p> a
bonweng	b O n w E N
ngongoregela	N O N O r E x E l a
sejalo	s E d0Z a l O
maphelong	m a ph E l O N
segwete	s E x w E t> E
lepa	l E p> a
lemogilwe	l E m O x i l w E
seriti	s E r i t> i
tlhaphola	tlh a ph O l a
tlolomolato	tl> O l O m O l a t> O
mmawee	m m a w E E
diregang	d i r E x a N
utswilweng	u ts> w i l w E N
itlhaganediseng	i tlh a x a n E d i s E N
tšhateng	tSh a t> E N
raemang	r a E m a N
seripa	s E r i p> a
mohibidu	m O h i b i d u
kwalelwe	k> w a l E l w E
sengwe	s E N w E
itumeletseng	i t> u m E l E ts> E N
rategeng	r a t> E x E N
bala	b a l a
tlhotlhololang	tlh O tlh O l O l a N
dikhomišeneng	d i kh O m i S E n E N
tlhongweng	tlh O N w E N
mmala	m m a l a
bolaodi	b O l a O d i
hupile	h u p> i l E
boutong	b O u t> O N
ketleetso	k> E tl> E E ts> O
tlhokafetse	tlh O k> a f E ts> E
filwe	f i l w E
phatlalatsa	ph a tl> a l a ts> a
tshwareletse	tsh w a r E l E ts> E
sebare	s E b a r E
tabogele	t> a b O x E l E
khiro	kh i r O
bolekanyo	b O l E k> a J O
saa	s a
tokomaneng	t> O k> O m a n E N
taboge	t> a b O x E
dibateng	d i b a t> E N
tswakaneng	ts> w a k> a n E N
lemogang	l E m O x a N
lera	l E r a
ketefaletsa	k> E t> E f a l E ts> a
kantoro	k> a n t> O r O
rekiwang	r E k> i w a N
tsuntsunyetsa	ts> u n ts> u J E ts> a
kgatlhiseng	kx a tlh i s E N
tshwanelwang	tsh w a n E l w a N
babusakgotla	b a b u s a kx O tl> a
boemong	b O E m O N
direla	d i r E l a
lebegang	l E b E x a N
mogodung	m O x O d u N
digwapa	d i x w a p> a
barukhutlhi	b a r u kh u tlh i
rraabonamogolo	r r a b O n a m O x O l O
tsepamong	ts> E p> a m O N
baranodi	b a r a n O d i
botlapa	b O tl> a p> a
marothodinyana	m a r O th O d i J a n a
porofensing	p> O r O f E n s i N
ratane	r a t> a n E
metsotsong	m E ts> O ts> O N
itlhaganedisa	i tlh a x a n E d i s a
molwetseng	m O l w E ts> E N
khupelo	kh u p> E l O
mpolaele	m p> O l a E l E
thuse	th u s E
malapeng	m a l a p> E N
kgoreletsong	kx O r E l E ts> O N
asebesetose	a s E b E s E t> O s E
atlenegisiwang	a tl> E n E x i s i w a N
emisetsang	E m i s E ts> a N
thuanyo	th u a J O
meraba	m E r a b a
ntsheditswe	n tsh E d i ts> w E
mmolelele	m m O l E l E l E
itlhaganedise	i tlh a x a n E d i s E
tumelano	t> u m E l a n O
rwelwe	r w E l w E
tleloko	tl> E l O k> O
swabisang	s w a b i s a N
naya	n a j a
kholera	kh O l E r a
utlwa	u tl> w a
lekanang	l E k> a n a N
makaelagongwe	m a k> a E l a x O N w E
dikgotlhang	d i kx O tlh a N
setilwe	s E t> i l w E
tokafale	t> O k> a f a l E
khutshwanyane	kh u tsh w a J a n E
boikgantsho	b O i kx a n tsh O
