can't	k> a n t>
sona	s O n a
sonasona	s O n a s O n a
sonete	s O n E t> E
šongwago	S O N w a G O
šongwa	S O N w a
šongwe	S O N w E
sonoplomo	s O n O p> l O m O
sonta	s O n t> a
šoo	S O O
sootho	s O O th O
sopo	s O p> O
sora	s O r a
šorofala	S O r O f a l a
šorofetše	S O r O f E tS> E
šoro	S O r O
šorošoro	S O r O S O r O
šo	S O
šošobana	S O S O B a n a
sotlega	s O tl> E G a
sotlwa	s O tl> w a
souso	s O u s O
spikara	s p> i k> a r a
stafo	s t> a f O
stediamo	s t> E l` i a m O
strouku	s t> r O u k> u
subelela	s u B E l E l a
šulafalelwa	S u l a f a l E l w a
šulafatša	S u l a f a tS> a
šunyeditše	S u J E l` i tS> E
šunyetša	S u J E tS> a
šupago	S u p> a G O
šupana	S u p> a n a
šupang	S u p> a N
šupa	S u p> a
šupeditšwego	S u p> E l` i tS> w E G O
šupe	S u p> E
šupetšago	S u p> E tS> a G O
šupetša	S u p> E tS> a
šupetšwago	S u p> E tS> w a G O
šupetšwa	S u p> E tS> w a
šupetšwe	S u p> E tS> w E
suphamaketeng	s u ph a m a k> E t> E N
suphamakete	s u ph a m a k> E t> E
šupilego	S u p> i l E G O
šupile	S u p> i l E
šupilwego	S u p> i l w E G O
šupilwe	S u p> i l w E
šupšago	S u pS> a G O
šupša	S u pS> a
šušumela	S u S u m E l a
šušumetša	S u S u m E tS> a
šušumetšwa	S u S u m E tS> w a
šuta	S u t> a
šutego	S u t> E G O
šutelela	S u t> E l E l a
šutelelwa	S u t> E l E l w a
šutha	S u th a
šuthego	S u th E G O
šuthela	S u th E l a
šuthelela	S u th E l E l a
šuthe	S u th E
šuthiša	S u th i S a
šuthišega	S u th i S E G a
šuthiše	S u th i S E
šuthišetša	S u th i S E tS> a
šuthišetšwa	S u th i S E tS> w a
šuthišetšwe	S u th i S E tS> w E
šuthišitšwego	S u th i S i tS> w E G O
šuthišwago	S u th i S w a G O
šuthišwa	S u th i S w a
šutiša	S u t> i S a
šutišeditšwego	S u t> i S E l` i tS> w E G O
šutišetša	S u t> i S E tS> a
šutišetšwa	S u t> i S E tS> w a
šutišitšwe	S u t> i S i tS> w E
šutišwa	S u t> i S w a
šutšago	S u tS> a G O
sutukheisi	s u t> u kh E i s i
sutu	s u t> u
swaba	s w a B a
swabile	s w a B i l E
swabišago	s w a B i S a G O
swabiša	s w a B i S a
swabiše	s w a B i S E
swaela	s w a E l a
swaetšego	s w a E tS> E G O
swago	s w a G O
swahlana	s w a K a n a
šwahla	S w a K a
šwahlela	S w a K E l a
šwahlelwa	S w a K E l w a
swailwego	s w a i l w E G O
swailwe	s w a i l w E
swaiwa	s w a i w a
šwalalana	S w a l a l a n a
šwalalanya	S w a l a l a J a
swanago	s w a n a G O
swana	s w a n a
swanego	s w a n E G O
swanelago	s w a n E l a G O
swanelanago	s w a n E l a n a G O
swanelana	s w a n E l a n a
swanela	s w a n E l a
swanelegilego	s w a n E l E G i l E G O
swanelegile	s w a n E l E G i l E
swanelego	s w a n E l E G O
swanele	s w a n E l E
swanelwago	s w a n E l w a G O
swanelwa	s w a n E l w a
swanelwe	s w a n E l w E
swane	s w a n E
swanetšana	s w a n E tS> a n a
swanetšego	s w a n E tS> E G O
swanetšeng	s w a n E tS> E N
swanetše	s w a n E tS> E
swanetšwego	s w a n E tS> w E G O
swanetšwe	s w a n E tS> w E
swantšhago	s w a n tSh a G O
swantšha	s w a n tSh a
swantšhetša	s w a n tSh E tS> a
swantšhitše	s w a n tSh i tS> E
swantšhitšwego	s w a n tSh i tS> w E G O
swantšhwago	s w a n tSh w a G O
swantšhwa	s w a n tSh w a
swaragana	s w a r a G a n a
swaraganego	s w a r a G a n E G O
swaragane	s w a r a G a n E
swaraganya	s w a r a G a J a
swarago	s w a r a G O
swaranang	s w a r a n a N
swarana	s w a r a n a
swaranego	s w a r a n E G O
swarane	s w a r a n E
swarang	s w a r a N
swara	s w a r a
swaraswara	s w a r a s w a r a
swaregago	s w a r E G a G O
swarega	s w a r E G a
swaregego	s w a r E G E G O
swarege	s w a r E G E
swaregile	s w a r E G i l E
swarego	s w a r E G O
swarelana	s w a r E l a n a
swarela	s w a r E l a
swareleditše	s w a r E l E l` i tS> E
swarelelago	s w a r E l E l a G O
swarelela	s w a r E l E l a
swarelele	s w a r E l E l E
swarelelwa	s w a r E l E l w a
swarele	s w a r E l E
swareletša	s w a r E l E tS> a
swareletšego	s w a r E l E tS> E G O
swarelwago	s w a r E l w a G O
swarelwa	s w a r E l w a
swarelwe	s w a r E l w E
swareng	s w a r E N
sware	s w a r E
swaretšego	s w a r E tS> E G O
swaretše	s w a r E tS> E
swaretšwego	s w a r E tS> w E G O
swaretšwe	s w a r E tS> w E
swarišana	s w a r i S a n a
swariša	s w a r i S a
swarišwa	s w a r i S w a
swarwago	s w a r w a G O
swarwa	s w a r w a
swarwe	s w a r w E
šwa	S w a
swaswa	s w a s w a
swayago	s w a j a G O
swaya	s w a j a
swayaswaya	s w a j a s w a j a
swaye	s w a j E
swela	s w E l a
swelego	s w E l E G O
swele	s w E l E
swerego	s w E r E G O
swere	s w E r E
swerwego	s w E r w E G O
swerwe	s w E r w E
swe	s w E
šweufala	S w E u f a l a
šweufetše	S w E u f E tS> E
swiela	s w i E l a
swielela	s w i E l E l a
swielwa	s w i E l w a
swikiri	s w i k> i r i
swina	s w i n a
swinne	s w i n n E
swiri	s w i r i
swiswaditšwego	s w i s w a l` i tS> w E G O
swiswala	s w i s w a l a
taamane	t> a a m a n E
tabakgolo	t> a B a kx O l O
tabana	t> a B a n a
tabanyana	t> a B a J a n a
taba	t> a B a
tabataba	t> a B a t> a B a
tabeng	t> a B E N
taboga	t> a B O G a
tabogela	t> a B O G E l a
taboge	t> a B O G E
tadi	t> a l` i
taelano	t> a E l a n O
taelelo	t> a E l E l O
taelong	t> a E l O N
taelo	t> a E l O
taetši	t> a E tS> i
taetšo	t> a E tS> O
tafolana	t> a f O l a n a
tafola	t> a f O l a
tafoleng	t> a f O l E N
tagafala	t> a G a f a l a
tagafalo	t> a G a f a l O
tagago	t> a G a G O
taga	t> a G a
tagilego	t> a G i l E G O
tagilwe	t> a G i l w E
tagi	t> a G i
tagwa	t> a G w a
tagwe	t> a G w E
tahlane	t> a K a n E
tahlegelo	t> a K E G E l O
tahlego	t> a K E G O
tahlo	t> a K O
talalerata	t> a l a l E r a t> a
talamorogo	t> a l a m O r O G O
tala	t> a l a
talatala	t> a l a t> a l a
talente	t> a l E n t> E
taletšo	t> a l E tS> O
tama	t> a m a
tamati	t> a m a t> i
tamiša	t> a m i S a
tamogile	t> a m O G i l E
tamolo	t> a m O l O
tangtang	t> a N t> a N
tanka	t> a n k> a
tankeng	t> a n k> E N
tantšwe	t> a n tS> w E
tanyago	t> a J a G O
tanya	t> a J a
tanyega	t> a J E G a
tanye	t> a J E
tanywa	t> a J w a
taodišokanegelo	t> a O l` i S O k> a n E G E l O
taodišong	t> a O l` i S O N
taodišo	t> a O l` i S O
taodišwana	t> a O l` i S w a n a
taodišwaneng	t> a O l` i S w a n E N
taola	t> a O l a
taolelo	t> a O l E l O
taolompe	t> a O l O m p> E
taolong	t> a O l O N
taolophethišo	t> a O l O ph E th i S O
taolo	t> a O l O
taonelouta	t> a O n E l O u t> a
tatagobana	t> a t> a G O B a n a
tatagobona	t> a t> a G O B O n a
tatago	t> a t> a G O
tatagwe	t> a t> a G w E
tata	t> a t> a
tatelanong	t> a t> E l a n O N
tatelano	t> a t> E l a n O
tatelelo	t> a t> E l E l O
tatemogolo	t> a t> E m O G O l O
tate	t> a t> E
tatetša	t> a t> E tS> a
tatofatšo	t> a t> O f a tS> O
tatšana	t> a tS> a n a
tatšo	t> a tS> O
taung	t> a u N
tau	t> a u
teatere	t> E a t> E r E
tebalelo	t> E B a l E l O
tebano	t> E B a n O
tebanyo	t> E B a J O
teba	t> E B a
tebelego	t> E B E l E G O
tebelelego	t> E B E l E l E G O
tebeleloleswa	t> E B E l E l O l E s w a
tebelelong	t> E B E l E l O N
tebelelo	t> E B E l E l O
tebetebeng	t> E B E t> E B E N
tebilego	t> E B i l E G O
tebile	t> E B i l E
tebilwego	t> E B i l w E G O
tebogišo	t> E B O G i S O
tebogo	t> E B O G O
tebo	t> E B O
teehlanong	t> E E K a n O N
teetharong	t> E E th a r O N
tefamorwalo	t> E f a m O r w a l O
tefelo	t> E f E l O
tefetšo	t> E f E tS> O
tefišo	t> E f i S O
tefopušetšo	t> E f O p> u S E tS> O
tefo	t> E f O
tekanelo	t> E k> a n E l O
tekanetšo	t> E k> a n E tS> O
tekanong	t> E k> a n O N
tekano	t> E k> a n O
tekanyetšong	t> E k> a J E tS> O N
tekanyetšo	t> E k> a J E tS> O
tekanyong	t> E k> a J O N
tekanyo	t> E k> a J O
tekatekago	t> E k> a t> E k> a G O
tekatekanelo	t> E k> a t> E k> a n E l O
tekatekano	t> E k> a t> E k> a n O
tekatekanyetšo	t> E k> a t> E k> a J E tS> O
tekatekanyo	t> E k> a t> E k> a J O
tekateka	t> E k> a t> E k> a
tekatekišwago	t> E k> a t> E k> i S w a G O
tekatlhaologanyo	t> E k> a tlh a O l O G a J O
tekemego	t> E k> E m E G O
tekodišišong	t> E k> O l` i S i S O N
tekodišišo	t> E k> O l` i S i S O
tekolapejana	t> E k> O l a p> E d0Z a n a
tekololefsa	t> E k> O l O l E p\s a
tekolong	t> E k> O l O N
tekolo	t> E k> O l O
tekong	t> E k> O N
teko	t> E k> O
telefaditšwego	t> E l E f a l` i tS> w E G O
telefaditšwe	t> E l E f a l` i tS> w E
telefatša	t> E l E f a tS> a
telela	t> E l E l a
telele	t> E l E l E
teleletelele	t> E l E l E t> E l E l E
teletšana	t> E l E tS> a n a
teletšo	t> E l E tS> O
temana	t> E m a n a
temaneng	t> E m a n E N
temanyana	t> E m a J a n a
tema	t> E m a
temathetong	t> E m a th E t> O N
tematheto	t> E m a th E t> O
temeng	t> E m E N
temogong	t> E m O G O N
temogo	t> E m O G O
temokrasing	t> E m O k> r a s i N
temokrasi	t> E m O k> r a s i
temong	t> E m O N
temošo	t> E m O S O
temo	t> E m O
tempele	t> E m p> E l E
tenang	t> E n a N
tena	t> E n a
tenega	t> E n E G a
tenegile	t> E n E G i l E
teng	t> E N
tennwe	t> E n n w E
tenteng	t> E n t> E N
tente	t> E n t> E
tenwa	t> E n w a
teori	t> E O r i
tepogela	t> E p> O G E l a
tepositi	t> E p> O s i t> i
terama	t> E r a m a
terapi	t> E r a p> i
terata	t> E r a t> a
terebe	t> E r E B E
terene	t> E r E n E
teseletšano	t> E s E l E tS> a n O
testamenteng	t> E s t> a m E n t> E N
testamente	t> E s t> a m E n t> E
teteanego	t> E t> E a n E G O
teteano	t> E t> E a n O
tetelele	t> E t> E l E l E
tetelong	t> E t> E l O N
tetelo	t> E t> E l O
teyana	t> E j a n a
teye	t> E j E
thabago	th a B a G O
thabana	th a B a n a
thabaneng	th a B a n E N
thabang	th a B a N
thabantsho	th a B a n tsh O
thaba	th a B a
thabeamanyi	th a B E a m a J i
thabekutu	th a B E k> u t> u
thabelago	th a B E l a G O
thabela	th a B E l a
thabele	th a B E l E
thabelwa	th a B E l w a
thabeng	th a B E N
thabe	th a B E
thabetše	th a B E tS> E
thabilego	th a B i l E G O
thabile	th a B i l E
thabišago	th a B i S a G O
thabiša	th a B i S a
thabišego	th a B i S E G O
thabiše	th a B i S E
thabišitše	th a B i S i tS> E
thabišitšwe	th a B i S i tS> w E
thabišwa	th a B i S w a
thabišwe	th a B i S w E
thabong	th a B O N
thabo	th a B O
thadile	th a l` i l E
thadilwego	th a l` i l w E G O
thadilwe	th a l` i l w E
thaere	th a E r E
thaetlele	th a E tl> E l E
thaga	th a G a
thakana	th a k> a n a
thaka	th a k> a
thakgala	th a kx a l a
thakgalela	th a kx a l E l a
thakgale	th a kx a l E
thakga	th a kx a
thakgatšago	th a kx a tS> a G O
thakgatša	th a kx a tS> a
thakgatšwa	th a kx a tS> w a
thakgetše	th a kx E tS> E
thakgola	th a kx O l a
thakgolwa	th a kx O l w a
thalang	th a l a N
thalathadilwego	th a l a th a l` i l w E G O
thala	th a l a
thalathala	th a l a th a l a
thalela	th a l E l a
thalele	th a l E l E
thalelwa	th a l E l w a
thaletše	th a l E tS> E
thaletšwego	th a l E tS> w E G O
thaloko	th a l O k> O
thalo	th a l O
thalwa	th a l w a
thanele	th a n E l E
thankga	th a n kx a
thankgetše	th a n kx E tS> E
thapama	th a p> a m a
thapa	th a p> a
thapelong	th a p> E l O N
thapelo	th a p> E l O
thapilego	th a p> i l E G O
thapile	th a p> i l E
thapiša	th a p> i S a
thapong	th a p> O N
thapo	th a p> O
tharano	th a r a n O
tharing	th a r i N
thari	th a r i
tharollong	th a r O l l O N
tharollo	th a r O l l O
tharong	th a r O N
tharo	th a r O
thatafaditšego	th a t> a f a l` i tS> E G O
thatafaditše	th a t> a f a l` i tS> E
thatafaditšwego	th a t> a f a l` i tS> w E G O
thatafaditšwe	th a t> a f a l` i tS> w E
thatafalago	th a t> a f a l a G O
thatafala	th a t> a f a l a
thatafalela	th a t> a f a l E l a
thatafa	th a t> a f a
thatafatša	th a t> a f a tS> a
thatafatšwa	th a t> a f a tS> w a
thatafetše	th a t> a f E tS> E
thatafiša	th a t> a f i S a
thatana	th a t> a n a
thata	th a t> a
thato	th a t> O
theago	th E a G O
thea	th E a
thedimoga	th E l` i m O G a
theeditše	th E E l` i tS> E
theeleditšego	th E E l E l` i tS> E G O
theeleditše	th E E l E l` i tS> E
theeleditšwe	th E E l E l` i tS> w E
theeletšago	th E E l E tS> a G O
theeletša	th E E l E tS> a
theeletšego	th E E l E tS> E G O
theeletše	th E E l E tS> E
theeletšo	th E E l E tS> O
theeletšwago	th E E l E tS> w a G O
theeletšwa	th E E l E tS> w a
theeletšwego	th E E l E tS> w E G O
theeletšwe	th E E l E tS> w E
theepe	th E E p> E
theetša	th E E tS> a
theetše	th E E tS> E
theetšwa	th E E tS> w a
theetšwe	th E E tS> w E
theilego	th E i l E G O
theile	th E i l E
theilwego	th E i l w E G O
theilwe	th E i l w E
theipi	th E i p> i
theiwa	th E i w a
thekeng	th E k> E N
thekethe	th E k> E th E
thekgago	th E kx a G O
thekgana	th E kx a n a
thekganego	th E kx a n E G O
thekgang	th E kx a N
thekgano	th E kx a n O
thekga	th E kx a
thekgeng	th E kx E N
thekge	th E kx E
thekgilego	th E kx i l E G O
thekgile	th E kx i l E
thekgilwego	th E kx i l w E G O
thekgilwe	th E kx i l w E
thekgo	th E kx O
thekgwago	th E kx w a G O
thekgwana	th E kx w a n a
thekgwa	th E kx w a
thekgwe	th E kx w E
thekišetšano	th E k> i S E tS> a n O
thekišong	th E k> i S O N
thekišo	th E k> i S O
thekniki	th E k> n i k> i
theknolotši	th E k> n O l O tS> i
thekofase	th E k> O f a s E
thekong	th E k> O N
thekontle	th E k> O n tl> E
theko	th E k> O
thelebišeneng	th E l E B i S E n E N
thelebišene	th E l E B i S E n E
theledi	th E l E l` i
thelefomo	th E l E f O m O
thelela	th E l E l a
thelele	th E l E l E
thelelo	th E l E l O
thelelwa	th E l E l w a
theletše	th E l E tS> E
thema	th E m a
theminale	th E m i n a l E
themperetšha	th E m p> E r E tSh a
thenisi	th E n i s i
theogago	th E O G a G O
theoga	th E O G a
theogelago	th E O G E l a G O
theogela	th E O G E l a
theogele	th E O G E l E
theogelwa	th E O G E l w a
theoge	th E O G E
theogetše	th E O G E tS> E
theogilego	th E O G i l E G O
theogile	th E O G i l E
theogo	th E O G O
theoša	th E O S a
theošitšwe	th E O S i tS> w E
theošwa	th E O S w a
thepeng	th E p> E N
thepe	th E p> E
therafiki	th E r a f i k> i
theraka	th E r a k> a
theramelaong	th E r a m E l a O N
theramelao	th E r a m E l a O
theramolao	th E r a m O l a O
therešo	th E r E S O
therišanong	th E r i S a n O N
therišano	th E r i S a n O
thero	th E r O
thešiari	th E S i a r i
thethago	th E th a G O
thetha	th E th a
thetho	th E th O
thethwana	th E th w a n a
theto	th E t> O
thetotumišo	th E t> O t> u m i S O
thetšwa	th E tS> w a
thewago	th E w a G O
thewa	th E w a
thewe	th E w E
thibago	th i B a G O
thibana	th i B a n a
thibanego	th i B a n E G O
thibane	th i B a n E
thiba	th i B a
thibedi	th i B E l` i
thibelago	th i B E l a G O
thibela	th i B E l a
thibelega	th i B E l E G a
thibelege	th i B E l E G E
thibelego	th i B E l E G O
thibeleng	th i B E l E N
thibele	th i B E l E
thibelong	th i B E l O N
thibelo	th i B E l O
thibelwago	th i B E l w a G O
thibelwa	th i B E l w a
thibelwe	th i B E l w E
thibe	th i B E
thibetše	th i B E tS> E
thibetšwego	th i B E tS> w E G O
thibetšwe	th i B E tS> w E
thibile	th i B i l E
thibilwe	th i B i l w E
thibja	th i BZ a
thibolla	th i B O l l a
thini	th i n i
thintha	th i n th a
thinyega	th i J E G a
thipa	th i p> a
thiša	th i S a
thišitše	th i S i tS> E
thitong	th i t> O N
thito	th i t> O
thobalanong	th O B a l a n O N
thobalano	th O B a l a n O
thoba	th O B a
thobela	th O B E l a
thobile	th O B i l E
thobilwego	th O B i l w E G O
thobola	th O B O l a
thobolla	th O B O l l a
thobollo	th O B O l l O
thobo	th O B O
thogako	th O G a k> O
thoka	th O k> a
thokong	th O k> O N
thoko	th O k> O
thokwana	th O k> w a n a
tholana	th O l a n a
thola	th O l a
tholo	th O l O
thomago	th O m a G O
thoma	th O m a
thomega	th O m E G a
thomelontle	th O m E l O n tl> E
thomelo	th O m E l O
thomeng	th O m E N
thome	th O m E
thomilego	th O m i l E G O
thomile	th O m i l E
thomilwego	th O m i l w E G O
thomilwe	th O m i l w E
thomiša	th O m i S a
thomišeng	th O m i S E N
thomiše	th O m i S E
thomišitše	th O m i S i tS> E
thomišitšwego	th O m i S i tS> w E G O
thomišitšwe	th O m i S i tS> w E
thomišo	th O m i S O
thomišwago	th O m i S w a G O
thomišwa	th O m i S w a
thomišwe	th O m i S w E
thomolla	th O m O l l a
thomo	th O m O
thonamente	th O n a m E n t> E
thongwago	th O N w a G O
thongwa	th O N w a
thongwe	th O N w E
thopadimolaleng	th O p> a l` i m O l a l E N
thopago	th O p> a G O
thopantlong	th O p> a n tl> O N
thopantlo	th O p> a n tl> O
thopa	th O p> a
thopelo	th O p> E l O
thopeng	th O p> E N
thope	th O p> E
thopilego	th O p> i l E G O
thopile	th O p> i l E
thopilwego	th O p> i l w E G O
thopilwe	th O p> i l w E
thopo	th O p> O
thopša	th O pS> a
thoro	th O r O
thorwana	th O r w a n a
thota	th O t> a
thotha	th O th a
thothela	th O th E l a
thothomela	th O th O m E l a
thothomelo	th O th O m E l O
thotho	th O th O
thothwa	th O th w a
thoto	th O t> O
thotše	th O tS> E
thotšhe	th O tSh E
thuba	th u B a
thubega	th u B E G a
thubegilego	th u B E G i l E G O
thubegile	th u B E G i l E
thubela	th u B E l a
thubile	th u B i l E
thubilwego	th u B i l w E G O
thubja	th u BZ a
thulaganyolefsa	th u l a G a J O l E p\s a
thulaganyong	th u l a G a J O N
thulaganyo	th u l a G a J O
thulanago	th u l a n a G O
thulana	th u l a n a
thulane	th u l a n E
thulanong	th u l a n O N
thulanontle	th u l a n O n tl> E
thulano	th u l a n O
thulantšha	th u l a n tSh a
thula	th u l a
thule	th u l E
thulo	th u l O
thulusi	th u l u s i
thulwa	th u l w a
thumaša	th u m a S a
thumong	th u m O N
thumo	th u m O
thungwa	th u N w a
thuntšego	th u n tS> E G O
thuntšhana	th u n tSh a n a
thuntšha	th u n tSh a
thuntšhetša	th u n tSh E tS> a
thuntšhitše	th u n tSh i tS> E
thuntšhitšwego	th u n tSh i tS> w E G O
thuntšhitšwe	th u n tSh i tS> w E
thuntšhwa	th u n tSh w a
thunya	th u J a
thunyetša	th u J E tS> a
thunywa	th u J w a
thuo	th u O
thupa	th u p> a
thupele	th u p> E l E
thupišo	th u p> i S O
thušago	th u S a G O
thušanago	th u S a n a G O
thušana	th u S a n a
thušane	th u S a n E
thušang	th u S a N
thušano	th u S a n O
thuša	th u S a
thušega	th u S E G a
thušege	th u S E G E
thušego	th u S E G O
thušeng	th u S E N
thuše	th u S E
thušitšego	th u S i tS> E G O
thušitše	th u S i tS> E
thušitšwego	th u S i tS> w E G O
thušitšwe	th u S i tS> w E
thušo	th u S O
thušwago	th u S w a G O
thušwa	th u S w a
thušwe	th u S w E
thutabodumedi	th u t> a B O l` u m E l` i
thutafase	th u t> a f a s E
thutaleago	th u t> a l E a G O
thutalefase	th u t> a l E f a s E
thutamahlale	th u t> a m a K a l E
thutantšho	th u t> a n tSh O
thutaphedi	th u t> a ph E l` i
thutapolelo	th u t> a p> O l E l O
thutathobollo	th u t> a th O B O l l O
thutelamošomo	th u t> E l a m O S O m O
thutha	th u th a
thu	th u
thuthupa	th u th u p> a
thuthupiša	th u th u p> i S a
thutišo	th u t> i S O
thutlwa	th u tl> w a
thutokakaretšo	th u t> O k> a k> a r E tS> O
thutong	th u t> O N
thuto	th u t> O
thutše	th u tS> E
thutšwe	th u tS> w E
thutwana	th u t> w a n a
thwadi	th w a l` i
thwalago	th w a l a G O
thwala	th w a l a
thwalelwa	th w a l E l w a
thwale	th w a l E
thwaletšwego	th w a l E tS> w E G O
thwalo	th w a l O
thwalwago	th w a l w a G O
thwalwa	th w a l w a
thwalwe	th w a l w E
thwantšha	th w a n tSh a
thwasa	th w a s a
thwa	th w a
thwego	th w E G O
thwethwa	th w E th w a
thwe	th w E
thwetšego	th w E tS> E G O
thwetše	th w E tS> E
thwetšwego	th w E tS> w E G O
thwetšwe	th w E tS> w E
thwii	th w i i
thwi	th w i
tiantšha	t> i a n tSh a
tia	t> i a
tidi	t> i l` i
tiego	t> i E G O
tiela	t> i E l a
tielela	t> i E l E l a
tielelo	t> i E l E l O
tieletšego	t> i E l E tS> E G O
tieletše	t> i E l E tS> E
tiilego	t> i i l E G O
tiile	t> i i l E
tiišago	t> i i S a G O
tiiša	t> i i S a
tiišeditšego	t> i i S E l` i tS> E G O
tiišeditše	t> i i S E l` i tS> E
tiišeditšwego	t> i i S E l` i tS> w E G O
tiišeditšwe	t> i i S E l` i tS> w E
tiišeleditše	t> i i S E l E l` i tS> E
tiišeletša	t> i i S E l E tS> a
tiiše	t> i i S E
tiišetšago	t> i i S E tS> a G O
tiišetša	t> i i S E tS> a
tiišetše	t> i i S E tS> E
tiišetšo	t> i i S E tS> O
tiišetšwa	t> i i S E tS> w a
tiišetšwe	t> i i S E tS> w E
tiišitše	t> i i S i tS> E
tiišitšwego	t> i i S i tS> w E G O
tiišitšwe	t> i i S i tS> w E
tiišo	t> i i S O
tiišwago	t> i i S w a G O
tiišwa	t> i i S w a
tikatiko	t> i k> a t> i k> O
tikologi	t> i k> O l O G i
tikologong	t> i k> O l O G O N
tikologo	t> i k> O l O G O
tikologwana	t> i k> O l O G w a n a
tikrii	t> i k> r i i
tilego	t> i l E G O
timamello	t> i m a m E l l O
timamollo	t> i m a m O l l O
timana	t> i m a n a
timane	t> i m a n E
tima	t> i m a
timeditše	t> i m E l` i tS> E
timeditšwe	t> i m E l` i tS> w E
timela	t> i m E l a
timelelago	t> i m E l E l a G O
timelela	t> i m E l E l a
timelele	t> i m E l E l E
timelelo	t> i m E l E l O
timelelwa	t> i m E l E l w a
timele	t> i m E l E
timeletša	t> i m E l E tS> a
timeletše	t> i m E l E tS> E
timelo	t> i m E l O
timetša	t> i m E tS> a
timetšego	t> i m E tS> E G O
timetše	t> i m E tS> E
timetšwa	t> i m E tS> w a
timile	t> i m i l E
timilwe	t> i m i l w E
timola	t> i m O l a
tingwa	t> i N w a
tipa	t> i p> a
tiploma	t> i p> l O m a
tiragalong	t> i r a G a l O N
tiragalo	t> i r a G a l O
tiragatšong	t> i r a G a tS> O N
tiragatšo	t> i r a G a tS> O
tirelong	t> i r E l O N
tirelo	t> i r E l O
tirelotšhireletšo	t> i r E l O tSh i r E l E tS> O
tirišanommogo	t> i r i S a n O m m O G O
