'n	@
vellings	f { l @ N s
veluitslag	f { l 9y t s l a x
vendetta	v E n d E t a
vennoot	f @ n u@ t
vennootskap	f @ n u@ t s k a p
vennootskappe	f @ n u@ t s k a p @
vennootskapsooreenkoms	f @ n u@ t s k a p s u@ r i@ n k O m s
vennote	f @ n u@ t @
venster	f E n s t @ r
vensterbank	f E n s t @ r b a N k
vensters	f E n s t @ r s
vent	f E n t
venter	f E n t @ r
ventilasie	v E n t @ l A: s i
venues	v E n j u s
venyn	f @ n @i n
ver	f { r
verabsoluteer	f @ r a b s @u l y t i@ r
veraf	f { r a f
verafsku	f @ r a f s k y
verag	f @ r a x
veragting	f @ r a x t @ N
veral	f @ r a l
veralgemeen	f @ r a l x @ m i@ n
veralgemeende	f @ r a l x @ m i@ n d @
veralgemening	f @ r a l x @ m i@ n @ N
veralgemenings	f @ r a l x @ m i@ n @ N s
veranda	v @ r a n d a
verander	f @ r a n d @ r
veranderde	f @ r a n d @ r d @
veranderende	f @ r a n d @ r @ n d @
verandering	f @ r a n d @ r @ N
veranderinge	f @ r a n d @ r @ N @
veranderings	f @ r a n d @ r @ N s
veranderlik	f @ r a n d @ r l @ k
veranderlikes	f @ r a n d @ r l @ k @ s
verantwoord	f @ r a n t v u@ r t
verantwoordbaar	f @ r a n t v u@ r t b A: r
verantwoordbaarheid	f @ r a n t v u@ r t b A: r h\ @i t
verantwoordbare	f @ r a n t v u@ r t b A: r @
verantwoordelik	f @ r a n t v u@ r d @ l @ k
verantwoordelike	f @ r a n t v u@ r d @ l @ k @
verantwoordelikhede	f @ r a n t v u@ r d @ l @ k h\ i@ d @
verantwoordelikheid	f @ r a n t v u@ r d @ l @ k h\ @i t
verantwoording	f @ r a n t v u@ r d @ N
verarm	f @ r a r @ m
verarmde	f @ r a r @ m d @
verarming	f @ r a r @ m @ N
veras	f @ r a s
verassing	f @ r a s @ N
verassings	f @ r a s @ N s
verbaal	v { r b A: l
verbaas	f @ r b A: s
verbaasde	f @ r b A: s d @
verban	f @ r b a n
verband	f @ r b a n t
verbande	f @ r b a n d @
verbandhoudende	f @ r b a n t h\ @u d @ n d @
verbandkoerse	f @ r b a n t k u r s @
verbandlening	f @ r b a n t l i@ n @ N
verbanning	f @ r b a n @ N
verbasend	f @ r b A: s @ n t
verbasing	f @ r b A: s @ N
verbeel	f @ r b i@ l
verbeelding	f @ r b i@ l d @ N
verbeeldinglose	f @ r b i@ l d @ N l u@ s @
verbeeldingryk	f @ r b i@ l d @ N r @i k
verbeeldingryke	f @ r b i@ l d @ N r @i k @
verberg	f @ r b { r x
verbete	f @ r b i@ t @
verbeter	f @ r b i@ t @ r
verbeterde	f @ r b i@ t @ r d @
verbetering	f @ r b i@ t @ r @ N
verbeteringe	f @ r b i@ t @ r @ N @
verbeterings	f @ r b i@ t @ r @ N s
verbeur	f @ r b 2: r
verbeurd	f @ r b 2: r t
verbied	f @ r b i t
verbind	f @ r b @ n t
verbinding	f @ r b @ n d @ N
verbindinge	f @ r b @ n d @ N @
verbintenis	f @ r b @ n t @ n @ s
verbintenisse	f @ r b @ n t @ n @ s @
verbitterd	f @ r b @ t @ r t
verbitterde	f @ r b @ t @ r d @
verbleikte	f @ r b l @i k t @
verblind	f @ r b l @ n t
verblindende	f @ r b l @ n d @ n d @
verbloem	f @ r b l u m
verbly	f @ r b l @i
verblydend	f @ r b l @i d @ n t
verblyf	f @ r b l @i f
verblyfkoste	f @ r b l @i f k O s t @
verblyfplek	f @ r b l @i f p l { k
verblyfreg	f @ r b l @i f r { x
verbod	f @ r b O t
verbode	f @ r b u@ d @
verbond	f @ r b O n t
verbonde	f @ r b O n d @
verbondenheid	f @ r b O n d @ n h\ @i t
verbondsark	f @ r b O n t s a r k
verbondsvolk	f @ r b O n t s f O l k
verborge	f @ r b O r g @
verbou	f @ r b @u
verbouereerd	f @ r b @u @ r i@ r t
verbouing	f @ r b @u @ N
verboë	f @ r b u @
verbrand	f @ r b r a n t
verbrande	f @ r b r a n d @
verbranding	f @ r b r a n d @ N
verbreding	f @ r b r i@ d @ N
verbreed	f @ r b r i@ t
verbreek	f @ r b r i@ k
verbreking	f @ r b r i@ k @ N
verbrokkel	f @ r b r O k @ l
verbrokkeling	f @ r b r O k @ l @ N
verbrou	f @ r b r @u
verbroude	f @ r b r @u d @
verbruik	f @ r b r 9y k
verbruiker	f @ r b r 9y k @ r
verbruikers	f @ r b r 9y k @ r s
verbruikersake	f @ r b r 9y k @ r s A: k @
verbruikersbesteding	f @ r b r 9y k @ r s b @ s t i@ d @ N
verbruikersforum	f @ r b r 9y k @ r s f u@ r 9 m
verbruikersgedrag	f @ r b r 9y k @ r s x @ d r a x
verbruikersgoedere	f @ r b r 9y k @ r s x u d @ r @
verbruikersprysindeks	f @ r b r 9y k @ r s p r @i s @ n d E k s
verbruikersraad	f @ r b r 9y k @ r s r A: t
verbruikerstudie	f @ r b r 9y k @ r s t y d i
verbruikersvertroue	f @ r b r 9y k @ r s f @ r t r @u @
verbruikersvraag	f @ r b r 9y k @ r s f r A: x
verbruikerswetenskappe	f @ r b r 9y k @ r s v i@ t @ n s k a p @
verbruiksbesteding	f @ r b r 9y k s b @ s t i@ d @ N
verbruiksgoedere	f @ r b r 9y k s x u d @ r @
verbruin	f @ r b r 9y n
verbrysel	f @ r b r @i s @ l
verbuiging	f @ r b 9y x @ N
verby	f @ r b @i
verbygaan	f @ r b @i x A: n
verbygaande	f @ r b @i x A: n d @
verbyganger	f @ r b @i x a N @ r
verbygangers	f @ r b @i x a N @ r s
verbygegaan	f @ r b @i x @ x A: n
verbygery	f @ r b @i x @ r @i
verbygestap	f @ r b @i x @ s t a p
verbygesteek	f @ r b @i x @ s t i@ k
verbyloop	f @ r b @i l u@ p
verbypad	f @ r b @i p a t
verbyry	f @ r b @i r @i
verbystap	f @ r b @i s t a p
verbysteek	f @ r b @i s t i@ k
verbyster	f @ r b @i s t @ r
verbysterende	f @ r b @i s t @ r @ n d @
verbyvlug	f @ r b @i f l 9 x
verdaag	f @ r d A: x
verdag	f @ r d a x
verdaging	f @ r d A: x @ N
verdagmakery	f @ r d a x m A: k @ r @i
verdagte	f @ r d a x t @
verdagtes	f @ r d a x t @ s
verdamp	f @ r d a m p
verdamping	f @ r d a m p @ N
verdedig	f @ r d i@ d @ x
verdedigend	f @ r d i@ d @ x @ n t
verdedigende	f @ r d i@ d @ x @ n d @
verdediger	f @ r d i@ d @ x @ r
verdedigers	f @ r d i@ d @ x @ r s
verdediging	f @ r d i@ d @ x @ N
verdedigingslinie	f @ r d i@ d @ x @ N s l i n i
verdedigingswet	f @ r d i@ d @ x @ N s v E t
verdeel	f @ r d i@ l
verdeelbare	f @ r d i@ l b A: r @
verdeeld	f @ r d i@ l t
verdeelde	f @ r d i@ l d @
verdeeldheid	f @ r d i@ l t h\ @i t
verdelende	f @ r d i@ l @ n d @
verdeling	f @ r d i@ l @ N
verdelings	f @ r d i@ l @ N s
verdelingsrekening	f @ r d i@ l @ N s r i@ k @ n @ N
verdenking	f @ r d E N k @ N
verder	f { r d @ r
verdere	f { r d @ r @
verderf	f @ r d { r f
verdien	f @ r d i n
verdienste	f @ r d i n s t @
verdienstelike	f @ r d i n s t @ l @ k @
verdienstes	f @ r d i n s t @ s
verdiep	f @ r d i p
verdieping	f @ r d i p @ N
verdiepings	f @ r d i p @ N s
verdik	f @ r d @ k
verdikking	f @ r d @ k @ N
verdink	f @ r d @ N k
verdiskonteer	f @ r d @ s k O n t i@ r
verdoel	f @ r d u l
verdoem	f @ r d u m
verdoesel	f @ r d u s @ l
verdof	f @ r d O f
verdomp	f @ r d O m p
verdorwe	f @ r d O r v @
verdowingsmiddels	f @ r d u@ v @ N s m @ d @ l s
verdra	f @ r d r A:
verdraagsaamheid	f @ r d r A: x s A: m h\ @i t
verdraai	f @ r d r A:i
verdraaiing	f @ r d r A:i @ N
verdrae	f @ r d r A: @
verdrag	f @ r d r a x
verdriedubbel	f @ r d r i d 9 b @ l
verdriet	f @ r d r i t
verdrink	f @ r d r @ N k
verdroog	f @ r d r u@ x
verdruk	f @ r d r 9 k
verdrukking	f @ r d r 9 k @ N
verdrukte	f @ r d r 9 k t @
verdruktes	f @ r d r 9 k t @ s
verdryf	f @ r d r @i f
verdubbel	f @ r d 9 b @ l
verduidelik	f @ r d 9y d @ l @ k
verduideliking	f @ r d 9y d @ l @ k @ N
verduidelikings	f @ r d 9y d @ l @ k @ N s
verduister	f @ r d 9y s t @ r
verdun	f @ r d 9 n
verdunde	f @ r d 9 n d @
verduur	f @ r d y r
verdwaal	f @ r d w A: l
verdwaas	f @ r d w A: s
verdwene	f @ r d w i@ n @
verdwerg	f @ r d w { r x
verdwyn	f @ r d w @i n
verdwyning	f @ r d w @i n @ N
vere	f i@ r @
vereeniging	f @ r i@ n @ x @ N
vereenselwig	f @ r i@ n s { l v @ x
vereenvoudig	f @ r i@ n f @u d @ x
vereenvoudigde	f @ r i@ n f @u d @ x d @
vereenvoudiging	f @ r i@ n f @u d @ x @ N
vereer	f @ r i@ r
vereffen	f @ r E f @ n
vereffening	f @ r E f @ n @ N
vereis	f @ r @i s
vereiste	f @ r @i s t @
vereistes	f @ r @i s t @ s
verengelsing	f @ r E N @ l s @ N
verenig	f @ r i@ n @ x
verenigde	f @ r i@ n @ x d @
verenigende	f @ r i@ n @ x @ n d @
vereniging	f @ r i@ n @ x @ N
verenigings	f @ r i@ n @ x @ N s
vererg	f @ r { r x
vererger	f @ r { r g @ r
verering	f @ r i@ r @ N
verewig	f @ r i@ v @ x
verf	f { r f
verfilm	f @ r f @ l @ m
verfilming	f @ r f @ l @ m @ N
verflou	f @ r f l @u
verfraai	f @ r f r A:i
verfris	f @ r f r @ s
verfrissend	f @ r f r @ s @ n t
verfrissende	f @ r f r @ s @ n d @
verfwerk	f { r f v { r k
verfyn	f @ r f @i n
verfynde	f @ r f @i n d @
verfyning	f @ r f @i n @ N
verg	f { r x
vergaan	f @ r x A: n
vergaap	f @ r x A: p
vergader	f @ r x A: d @ r
vergadering	f @ r x A: d @ r @ N
vergaderings	f @ r x A: d @ r @ N s
vergange	f @ r x a N @
vergas	f @ r x a s
vergeef	f @ r x i@ f
vergeefs	f @ r x i@ f s
vergeer	f @ r x i@ r
vergeet	f @ r x i@ t
vergelding	f @ r x { l d @ N
vergeleke	f @ r x @ l i@ k @
vergelyk	f @ r x @ l @i k
vergelykbaar	f @ r x @ l @i k b A: r
vergelykbare	f @ r x @ l @i k b A: r @
vergelykend	f @ r x @ l @i k @ n t
vergelykende	f @ r x @ l @i k @ n d @
vergelyking	f @ r x @ l @i k @ N
vergelykings	f @ r x @ l @i k @ N s
vergemaklik	f @ r x @ m a k l @ k
vergesel	f @ r x @ s { l
vergesog	f { r x @ s O x
vergestalting	f @ r x @ s t a l t @ N
vergete	f @ r x i@ t @
vergewe	f @ r x i@ v @
vergewing	f @ r x i@ v @ N
vergewis	f @ r x @ v @ s
vergiffenis	f @ r x @ f @ n @ s
vergifnis	f @ r x @ f n @ s
vergiftig	f @ r x @ f t @ x
vergoed	f @ r x u t
vergoeding	f @ r x u d @ N
vergoedingspakket	f @ r x u d @ N s p a k E t
vergroei	f @ r x r ui
vergroot	f @ r x r u@ t
vergrootglas	f @ r x r u@ t x l a s
vergrote	f @ r x r u@ t @
vergroting	f @ r x r u@ t @ N
vergruis	f @ r x r 9y s
vergryp	f @ r x r @i p
vergrype	f @ r x r @i p @
verguis	f @ r x 9y s
vergulde	f @ r x 9 l d @
vergunning	f @ r x 9 n @ N
verhaal	f @ r h\ A: l
verhaaltjie	f @ r h\ A: l k i
verhale	f @ r h\ A: l @
verhalende	f @ r h\ A: l @ n d @
verhaling	f @ r h\ A: l @ N
verhandel	f @ r h\ a n d @ l
verhandelbare	f @ r h\ a n d @ l b A: r @
verhandeling	f @ r h\ a n d @ l @ N
verhandelings	f @ r h\ a n d @ l @ N s
verhang	f @ r h\ a N
verheerlik	f @ r h\ i@ r l @ k
verheerliking	f @ r h\ i@ r l @ k @ N
verhef	f @ r h\ E f
verhelder	f @ r h\ { l d @ r
verheldering	f @ r h\ { l d @ r @ N
verhelp	f @ r h\ { l p
verhemelte	f @ r h\ i@ m @ l t @
verheug	f @ r h\ 2: x
verhewe	f @ r h\ i@ v @
verhinder	f @ r h\ @ n d @ r
verhit	f @ r h\ @ t
verhitte	f @ r h\ @ t @
verhoed	f @ r h\ u t
verhoging	f @ r h\ u@ x @ N
verhogings	f @ r h\ u@ x @ N s
verhoog	f @ r h\ u@ x
verhoogde	f @ r h\ u@ x d @
verhoogstuk	f @ r h\ u@ x s t 9 k
verhoor	f @ r h\ u@ r
verhoorafwagtend	f @ r h\ u@ r a f v a x t @ n t
verhoorafwagtende	f @ r h\ u@ r a f v a x t @ n d @
verhoordatum	f @ r h\ u@ r d A: t 9 m
verhore	f @ r h\ u@ r @
verhoring	f @ r h\ u@ r @ N
verhouding	f @ r h\ @u d @ N
verhoudinge	f @ r h\ @u d @ N @
verhoudings	f @ r h\ @u d @ N s
verhoë	f @ r h\ u @
verhuis	f @ r h\ 9y s
verhuring	f @ r h\ y r @ N
verhuur	f @ r h\ y r
verhuurbare	f @ r h\ y r b A: r @
verhuurder	f @ r h\ y r d @ r
vering	f i@ r @ N
veringstelsel	f i@ r @ N s t { l s @ l
veritas	v E r i t a s
verjaag	f @ r j A: x
verjaar	f @ r j A: r
verjaardae	f @ r j A: r d A: @
verjaardag	f @ r j A: r d a x
verjaardaggeskenk	f @ r j A: r d a x x @ s k E N k
verjaarsdag	f @ r j A: r s d a x
verjaring	f @ r j A: r @ N
verjoodsing	f @ r j u@ t s @ N
verkas	f @ r k a s
verkeer	f @ r k i@ r
verkeerd	f @ r k i@ r t
verkeerde	f @ r k i@ r d @
verkeerdelik	f @ r k i@ r d @ l @ k
verkeersbeampte	f @ r k i@ r s b @ a m p t @
verkeersbeamptes	f @ r k i@ r s b @ a m p t @ s
verkeersdepartement	f @ r k i@ r s d @ p a r t @ m E n t
verkeersknope	f @ r k i@ r s k n u@ p @
verkeerslig	f @ r k i@ r s l @ x
verkeersligte	f @ r k i@ r s l @ x t @
verkeersman	f @ r k i@ r s m a n
verkeersmanne	f @ r k i@ r s m a n @
verkeersoortreders	f @ r k i@ r s u@ r t r i@ d @ r s
verkeersoortredings	f @ r k i@ r s u@ r t r i@ d @ N s
verkeersopeenhopings	f @ r k i@ r s O p i@ n h\ u@ p @ N s
verkeerspolisie	f @ r k i@ r s p u l i s i
verken	f @ r k E n
verkennende	f @ r k E n @ n d @
verkenners	f @ r k E n @ r s
verkies	f @ r k i s
verkiesbaar	f @ r k i s b A: r
verkiesing	f @ r k i s @ N
verkiesings	f @ r k i s @ N s
verkiesingsbeloftes	f @ r k i s @ N s b @ l O f t @ s
verkiesingsdag	f @ r k i s @ N s d a x
verkiesingskommissie	f @ r k i s @ N s k u m i s i
verkiesingsmanifes	f @ r k i s @ N s m a n i f E s
verkiesingstryd	f @ r k i s @ N s t r @i t
verkiesingstyd	f @ r k i s @ N s t @i t
verkiesingsuitslae	f @ r k i s @ N s 9y t s l A: @
verkiesingsuitslag	f @ r k i s @ N s 9y t s l a x
verkiesingsveldtog	f @ r k i s @ N s f { l t O x
verkiesingsveldtogte	f @ r k i s @ N s f { l t O x t @
verkieslik	f @ r k i s l @ k
verklaar	f @ r k l A: r
verklaarde	f @ r k l A: r d @
verklap	f @ r k l a p
verklaring	f @ r k l A: r @ N
verklarings	f @ r k l A: r @ N s
verklein	f @ r k l @i n
verkleineer	f @ r k l @i n i@ r
verkleining	f @ r k l @i n @ N
verkleiningsvorme	f @ r k l @i n @ N s f O r @ m @
verkleur	f @ r k l 2: r
verkluim	f @ r k l 9y m
verknorsing	f @ r k n O r s @ N
verkoeler	f @ r k u l @ r
verkoeling	f @ r k u l @ N
verkondig	f @ r k O n d @ x
verkondiging	f @ r k O n d @ x @ N
verkool	f @ r k u@ l
verkoop	f @ r k u@ p
verkoopbelasting	f @ r k u@ p b @ l a s t @ N
verkoopdruk	f @ r k u@ p d r 9 k
verkoopprys	f @ r k u@ p p r @i s
verkooppryse	f @ r k u@ p p r @i s @
verkoopsbestuurder	f @ r k u@ p s b @ s t y r d @ r
verkoopsman	f @ r k u@ p s m a n
verkoopsorganisasie	f @ r k u@ p s O r x a n i s A: s i
verkoopsprys	f @ r k u@ p s p r @i s
verkoopswaarde	f @ r k u@ p s v A: r d @
verkoopsyfer	f @ r k u@ p s @i f @ r
verkoopsyfers	f @ r k u@ p s @i f @ r s
verkope	f @ r k u@ p @
verkoper	f @ r k u@ p @ r
verkopers	f @ r k u@ p @ r s
verkoping	f @ r k u@ p @ N
verkort	f @ r k O r t
verkorte	f @ r k O r t @
verkose	f @ r k u@ s @
verkoue	f @ r k @u @
verkrag	f @ r k r a x
verkragte	f @ r k r a x t @
verkragter	f @ r k r a x t @ r
verkragters	f @ r k r a x t @ r s
verkragting	f @ r k r a x t @ N
verkragtings	f @ r k r a x t @ N s
verkragtingslagoffers	f @ r k r a x t @ N s l a x O f @ r s
verkrampte	f @ r k r a m p t @
verkreë	f @ r k r i @
verkrummel	f @ r k r 9 m @ l
verkry	f @ r k r @i
verkrygbaar	f @ r k r @i x b A: r
verkryging	f @ r k r @i x @ N
verkrygings	f @ r k r @i x @ N s
verkul	f @ r k 9 l
verkwalik	f @ r k w A: l @ k
verkwisting	f @ r k w @ s t @ N
verkyker	f { r k @i k @ r
verlaag	f @ r l A: x
verlaagde	f @ r l A: x d @
verlaat	f @ r l A: t
verlaging	f @ r l A: x @ N
verlagings	f @ r l A: x @ N s
verlam	f @ r l a m
verlamde	f @ r l a m d @
verlammende	f @ r l a m @ n d @
verlamming	f @ r l a m @ N
verlang	f @ r l a N
verlangde	f @ r l a N d @
verlange	f @ r l a N @
verlangsaam	f @ r l a N s A: m
verlangsaming	f @ r l a N s A: m @ N
verlate	f @ r l A: t @
verlatenheid	f @ r l A: t @ n h\ @i t
verlede	f @ r l i@ d @
verleen	f @ r l i@ n
verleentheid	f @ r l i@ n t h\ @i t
verlei	f @ r l @i
verleidelik	f @ r l @i d @ l @ k
verleiding	f @ r l @i d @ N
verleng	f @ r l E N
verlenging	f @ r l E N @ N
verlengstuk	f @ r l E N s t 9 k
verlep	f @ r l E p
verleë	f @ r l i @
verlief	f @ r l i f
verliefde	f @ r l i f d @
verliefdes	f @ r l i f d @ s
verlies	f @ r l i s
verliese	f @ r l i s @
verlig	f @ r l @ x
verligte	f @ r l @ x t @
verligting	f @ r l @ x t @ N
verligtingsprojek	f @ r l @ x t @ N s p r u j E k
verlof	f @ r l O f
verloof	f @ r l u@ f
verloofde	f @ r l u@ f d @
verloofring	f @ r l u@ f r @ N
verloop	f @ r l u@ p
verloor	f @ r l u@ r
verloorder	f @ r l u@ r d @ r
verloorders	f @ r l u@ r d @ r s
verloorkant	f @ r l u@ r k a n t
verloorspan	f @ r l u@ r s p a n
verlore	f @ r l u@ r @
verlos	f @ r l O s
verloskunde	f @ r l O s k 9 n d @
verlosser	f @ r l O s @ r
verlossing	f @ r l O s @ N
verlowing	f @ r l u@ v @ N
verloën	f @ r l u @ n
verlustig	f @ r l 9 s t @ x
vermaak	f @ r m A: k
vermaaklik	f @ r m A: k l @ k
vermaaklike	f @ r m A: k l @ k @
vermaaklikheid	f @ r m A: k l @ k h\ @i t
vermaaklikheidsbedryf	f @ r m A: k l @ k h\ @i t s b @ d r @i f
vermaan	f @ r m A: n
vermaarde	f @ r m A: r d @
vermag	f @ r m a x
vermaning	f @ r m A: n @ N
vermeende	f @ r m i@ n d @
vermeerder	f @ r m i@ r d @ r
vermeerdering	f @ r m i@ r d @ r @ N
vermeld	f @ r m { l t
vermelde	f @ r m { l d @
vermelding	f @ r m { l d @ N
vermeng	f @ r m E N
vermenging	f @ r m E N @ N
vermenigvuldig	f @ r m i@ n @ x f 9 l d @ x
vermenigvuldiger	f @ r m i@ n @ x f 9 l d @ x @ r
vermenigvuldiging	f @ r m i@ n @ x f 9 l d @ x @ N
vermenigvuldigingsomme	f @ r m i@ n @ x f 9 l d @ x @ N s O m @
vermeulen	f @ r m 2: l @ n
verminder	f @ r m @ n d @ r
verminderde	f @ r m @ n d @ r d @
vermindering	f @ r m @ n d @ r @ N
vermink	f @ r m @ N k
verminking	f @ r m @ N k @ N
verminkte	f @ r m @ N k t @
verminktes	f @ r m @ N k t @ s
vermis	f @ r m @ s
vermiste	f @ r m @ s t @
vermistes	f @ r m @ s t @ s
vermoed	f @ r m u t
vermoede	f @ r m u d @
vermoedelik	f @ r m u d @ l @ k
vermoedens	f @ r m u d @ n s
vermoeid	f @ r m ui t
vermom	f @ r m O m
vermoor	f @ r m u@ r
vermoorde	f @ r m u@ r d @
vermors	f @ r m O r s
vermorsel	f @ r m O r s @ l
vermorsing	f @ r m O r s @ N
vermoë	f @ r m u @
vermy	f @ r m @i
vermyding	f @ r m @i d @ N
vernaamste	f @ r n A: m s t @
vername	f @ r n A: m @
verneder	f @ r n i@ d @ r
vernederende	f @ r n i@ d @ r @ n d @
vernedering	f @ r n i@ d @ r @ N
verneem	f @ r n i@ m
verniel	f @ r n i l
verniet	f @ r n i t
vernietig	f @ r n i t @ x
vernietigend	f @ r n i t @ x @ n t
vernietigende	f @ r n i t @ x @ n d @
vernietiging	f @ r n i t @ x @ N
vernis	f @ r n @ s
vernoem	f @ r n u m
vernou	f @ r n @u
vernuf	f @ r n 9 f
vernuftige	f @ r n 9 f t @ x @
vernuwe	f @ r n y v @
vernuwend	f @ r n y v @ n t
vernuwende	f @ r n y v @ n d @
vernuwing	f @ r n y v @ N
vernuwings	f @ r n y v @ N s
veronagsaam	f @ r O n a x s A: m
veronderstel	f @ r O n d @ r s t { l
veronderstelde	f @ r O n d @ r s t { l d @
veronderstelling	f @ r O n d @ r s t { l @ N
verongeluk	f @ r O n x @ l 9 k
verontagsaam	f @ r O n t a x s A: m
verontreinig	f @ r O n t r @i n @ x
verontrief	f @ r O n t r i f
verontrus	f @ r O n t r 9 s
verontrustend	f @ r O n t r 9 s t @ n t
verontwaardig	f @ r O n t v A: r d @ x
verontwaardiging	f @ r O n t v A: r d @ x @ N
veroordeel	f @ r u@ r d i@ l
veroordeelde	f @ r u@ r d i@ l d @
veroordeling	f @ r u@ r d i@ l @ N
veroordelings	f @ r u@ r d i@ l @ N s
veroorsaak	f @ r u@ r s A: k
veroorsakende	f @ r u@ r s A: k @ n d @
verootmoediging	f @ r u@ t m u d @ x @ N
verouder	f @ r @u d @ r
verouderd	f @ r @u d @ r t
verouderde	f @ r @u d @ r d @
veroudering	f @ r @u d @ r @ N
verower	f @ r u@ v @ r
verpak	f @ r p a k
verpakking	f @ r p a k @ N
verpakkings	f @ r p a k @ N s
verpas	f @ r p a s
verpersoonlik	f @ r p @ r s u@ n l @ k
verpes	f @ r p E s
verplaas	f @ r p l A: s
verpleeg	f @ r p l i@ x
verpleegkunde	f @ r p l i@ x k 9 n d @
verpleegkundiges	f @ r p l i@ x k 9 n d @ x @ s
verpleegpersoneel	f @ r p l i@ x p { r s u n i@ l
verpleegproses	f @ r p l i@ x p r u s E s
verpleegsorg	f @ r p l i@ x s O r x
verpleegsorgplan	f @ r p l i@ x s O r x p l a n
verpleegster	f @ r p l i@ x s t @ r
verpleegsters	f @ r p l i@ x s t @ r s
verpletter	f @ r p l E t @ r
verpletterende	f @ r p l E t @ r @ n d @
verplig	f @ r p l @ x
verpligte	f @ r p l @ x t @
verpligtend	f @ r p l @ x t @ n t
verpligting	f @ r p l @ x t @ N
verpligtinge	f @ r p l @ x t @ N @
verpligtings	f @ r p l @ x t @ N s
verpolitiseer	f @ r p u l i t i s i@ r
verposing	f @ r p u@ s @ N
verraad	f @ r A: t
verraai	f @ r A:i
verraaiers	f @ r A:i @ r s
verraderlike	f @ r A: d @ r l @ k @
verras	f @ r a s
verrassend	f @ r a s @ n t
verrassende	f @ r a s @ n d @
verrassing	f @ r a s @ N
verrassings	f @ r a s @ N s
verre	f { r @
verregaande	f { r @ x A: n d @
verregse	f { r r { x s @
verreikende	f { r @i k @ n d @
verrek	f @ r E k
verreweg	f { r @ v { x
verrig	f @ r @ x
verrigting	f @ r @ x t @ N
verrigtinge	f @ r @ x t @ N @
verrinneweer	f @ r @ n @ v i@ r
verrot	f @ r O t
verruil	f @ r 9y l
verruiming	f @ r 9y m @ N
verruklike	f @ r 9 k l @ k @
verryk	f @ r @i k
verrykende	f @ r @i k @ n d @
verryking	f @ r @i k @ N
verrykte	f @ r @i k t @
verrys	f @ r @i s
vers	f { r s
versa	v { r s a
versadig	f @ r s A: d @ x
versadigde	f @ r s A: d @ x d @
versadiging	f @ r s A: d @ x @ N
versag	f @ r s a x
versagting	f @ r s a x t @ N
versamel	f @ r s A: m @ l
versamelaars	f @ r s A: m @ l A: r s
versamelde	f @ r s A: m @ l d @
versameling	f @ r s A: m @ l @ N
versamelings	f @ r s A: m @ l @ N s
versamelnaam	f @ r s A: m @ l n A: m
versamelstuk	f @ r s A: m @ l s t 9 k
versamelstukke	f @ r s A: m @ l s t 9 k @
verse	f { r s @
verseker	f @ r s i@ k @ r
versekeraar	f @ r s i@ k @ r A: r
versekeraars	f @ r s i@ k @ r A: r s
versekerde	f @ r s i@ k @ r d @
versekering	f @ r s i@ k @ r @ N
versekerings	f @ r s i@ k @ r @ N s
versekeringsbedryf	f @ r s i@ k @ r @ N s b @ d r @i f
versekeringskontrak	f @ r s i@ k @ r @ N s k O n t r a k
versekeringsmaatskappy	f @ r s i@ k @ r @ N s m A: t s k a p @i
versekeringsmaatskappye	f @ r s i@ k @ r @ N s m A: t s k a p @i @
versekeringsmakelaar	f @ r s i@ k @ r @ N s m A: k @ l A: r
versekeringspolis	f @ r s i@ k @ r @ N s p u@ l @ s
versekeringspolisse	f @ r s i@ k @ r @ N s p u@ l @ s @
versekeringspremies	f @ r s i@ k @ r @ N s p r i@ m i s
versel	f @ r s { l
versend	f @ r s E n t
versengende	f @ r s E N @ n d @
verset	f @ r s E t
versien	f @ r s i n
versiening	f @ r s i n @ N
versier	f @ r s i r
versierde	f @ r s i r d @
versiering	f @ r s i r @ N
versigtig	f @ r s @ x t @ x
versigtige	f @ r s @ x t @ x @
versigtigheid	f @ r s @ x t @ x h\ @i t
versit	f @ r s @ t
verskaf	f @ r s k a f
verskaffer	f @ r s k a f @ r
verskaffers	f @ r s k a f @ r s
verskaffing	f @ r s k a f @ N
verskans	f @ r s k a n s
verskansing	f @ r s k a n s @ N
verskanste	f @ r s k a n s t @
verskeep	f @ r s k i@ p
verskeidenheid	f @ r s k @i d @ n h\ @i t
verskeie	f @ r s k @i @
verskerp	f @ r s k { r p
verskerpte	f @ r s k { r p t @
verskeur	f @ r s k 2: r
verskiet	f @ r s k i t
verskil	f @ r s k @ l
verskille	f @ r s k @ l @
verskillend	f @ r s k @ l @ n t
verskillende	f @ r s k @ l @ n d @
verskoning	f @ r s k u@ n @ N
verskonings	f @ r s k u@ n @ N s
verskoon	f @ r s k u@ n
verskraal	f { r s k r A: l
verskrik	f @ r s k r @ k
verskrikking	f @ r s k r @ k @ N
verskriklik	f @ r s k r @ k l @ k
verskriklike	f @ r s k r @ k l @ k @
verskrikte	f @ r s k r @ k t @
verskroeide	f @ r s k r ui d @
verskuif	f @ r s k 9y f
verskuilde	f @ r s k 9y l d @
verskuiwende	f @ r s k 9y v @ n d @
verskuiwing	f @ r s k 9y v @ N
verskuiwings	f @ r s k 9y v @ N s
verskuldig	f @ r s k 9 l d @ x
verskyn	f @ r s k @i n
verskyning	f @ r s k @i n @ N
verskynings	f @ r s k @i n @ N s
verskynsel	f @ r s k @i n s @ l
verskynsels	f @ r s k @i n s @ l s
verslaaf	f @ r s l A: f
