can't	k> a n t>
senotlele	s E n O tl> E l E
senotlolo	s E n O tl> O l O
senoto	s E n O t> O
senotse	s E n O ts> E
senotsididi	s E n O ts> i d i d i
senotsweng	s E n O ts> w E N
senotswe	s E n O ts> w E
sente	s E n t> E
senthara	s E n th a r a
sentlentle	s E n tl> E n tl> E
sentle	s E n tl> E
sentlesentle	s E n tl> E s E n tl> E
sentlhaga	s E n tlh a x a
sentlhageng	s E n tlh a x E N
sentseng	s E n ts> E N
sentse	s E n ts> E
sentshamosi	s E n tsh a m O s i
sentšhwa	s E n tSh w a
sentsi	s E n ts> i
sentsweng	s E n ts> w E N
sentswe	s E n ts> w E
senwelo	s E n w E l O
senyaka	s E J a k> a
senyana	s E J a n a
senyang	s E J a N
senya	s E J a
senyediwa	s E J E d i w a
senyegang	s E J E x a N
senyega	s E J E x a
senyegelwa	s E J E x E l w a
senyegelwe	s E J E x E l w E
senyege	s E J E x E
senyegileng	s E J E x i l E N
senyegile	s E J E x i l E
senyeng	s E J E N
senye	s E J E
senyetsa	s E J E ts> a
senyetse	s E J E ts> E
seolong	s E O l O N
seoposengwe	s E O p> O s E N w E
seo	s E O
seotli	s E O tl> i
sepalaka	s E p> a l a k> a
sepalamo	s E p> a l a m O
sepalangwa	s E p> a l a N w a
sepane	s E p> a n E
sepatšhe	s E p> a tSh E
sepedi	s E p> E d i
sepeiting	s E p> E i t> i N
sepeiti	s E p> E i t> i
sepeke	s E p> E k> E
sepelete	s E p> E l E t> E
sepe	s E p> E
sepesepe	s E p> E s E p> E
sepetlele	s E p> E tl> E l E
sepetseng	s E p> E ts> E N
sephara	s E ph a r a
sephatlo	s E ph a tl> O
sephimodi	s E ph i m O d i
sephiring	s E ph i r i N
sephiri	s E ph i r i
sephologolo	s E ph O l O x O l O
sephothi	s E ph O th i
sephotlwa	s E ph O tl> w a
sephuthelwana	s E ph u th E l w a n a
sephuthelwaneng	s E ph u th E l w a n E N
sepikara	s E p> i k> a r a
sepodising	s E p> O d i s i N
sepodisi	s E p> O d i s i
sepoko	s E p> O k> O
sepolotiking	s E p> O l O t> i k> i N
sepolotiki	s E p> O l O t> i k> i
seponono	s E p> O n O n O
seporeng	s E p> O r E N
seporofešenale	s E p> O r O f E S E n a l E
seporofešene	s E p> O r O f E S E n E
seporo	s E p> O r O
sepotlana	s E p> O tl> a n a
serai	s E r a i
serala	s E r a l a
seraleng	s E r a l E N
seralo	s E r a l O
seralwa	s E r a l w a
serame	s E r a m E
serankure	s E r a n k> u r E
seraro	s E r a r O
sera	s E r a
serati	s E r a t> i
serethe	s E r E th E
seretseng	s E r E ts> E N
seretse	s E r E ts> E
seripana	s E r i p> a n a
seripa	s E r i p> a
seritibatsi	s E r i t> i b a ts> i
seriting	s E r i t> i N
seriti	s E r i t> i
serobe	s E r O b E
serobing	s E r O b i N
serobi	s E r O b i
serodumo	s E r O d u m O
serokwa	s E r O k> w a
serolwana	s E r O l w a n a
serope	s E r O p> E
seroring	s E r O r i N
serotong	s E r O t> O N
serurubele	s E r u r u b E l E
serutweng	s E r u t> w E N
serwalo	s E r w a l O
serwalwa	s E r w a l w a
serwe	s E r w E
sešabo	s E S a b O
sesading	s E s a d i N
sesadi	s E s a d i
sesala	s E s a l a
seša	s E S a
se	s E
sesele	s E s E l E
sešeng	s E S E N
sesenyi	s E s E J i
sesepa	s E s E p> a
sesheng	s E s E N
sesino	s E s i n O
sesiraphefo	s E s i r a ph E f O
sesireletsi	s E s i r E l E ts> i
sesiro	s E s i r O
sesole	s E s O l E
sesolo	s E s O l O
seso	s E s O
sesupalebelo	s E s u p> a l E b E l O
sesupo	s E s u p> O
sešwa	s E S w a
seswati	s E s w a t> i
sešweng	s E S w E N
sesweu	s E s w E u
setaele	s E t> a E l E
setatamenteng	s E t> a t> a m E n t> E N
setatamente	s E t> a t> a m E n t> E
setatšhe	s E t> a tSh E
setediamong	s E t> E d i a m O N
setefikeiting	s E t> E f i k> E i t> i N
setefikeiti	s E t> E f i k> E i t> i
setegeniki	s E t> E x E n i k> i
setekeniki	s E t> E k> E n i k> i
setela	s E t> E l a
setelwang	s E t> E l w a N
setemokerasi	s E t> E m O k> E r a s i
setempe	s E t> E m p> E
setena	s E t> E n a
setepe	s E t> E p> E
seterata	s E t> E r a t> a
seterateng	s E t> E r a t> E N
seterekeng	s E t> E r E k> E N
setereke	s E t> E r E k> E
seterese	s E t> E r E s E
seteropo	s E t> E r O p> O
sete	s E t> E
sethabeng	s E th a b E N
sethalong	s E th a l O N
sethalo	s E th a l O
sethalwa	s E th a l w a
setheong	s E th E O N
sethitho	s E th i th O
sethoboloko	s E th O b O l O k> O
sethong	s E th O N
sethosa	s E th O s a
setho	s E th O
sethunya	s E th u J a
sethusi	s E th u s i
sethuthusi	s E th u th u s i
sethuthuthu	s E th u th u th u
sethweng	s E th w E N
sethwe	s E th w E
setifikeiting	s E t> i f i k> E i t> i N
setileng	s E t> i l E N
setilong	s E t> i l O N
setilo	s E t> i l O
setilweng	s E t> i l w E N
setilwe	s E t> i l w E
setimamolelo	s E t> i m a m O l E l O
setimela	s E t> i m E l a
setimeleng	s E t> i m E l E N
setimi	s E t> i m i
setlaagana	s E tl> a x a n a
setlaela	s E tl> a E l a
setlamong	s E tl> a m O N
setlamo	s E tl> a m O
setlankana	s E tl> a n k> a n a
setlapele	s E tl> a p> E l E
setla	s E tl> a
setlela	s E tl> E l a
setlhabelo	s E tlh a b E l O
setlhabi	s E tlh a b i
setlhafetseng	s E tlh a f E ts> E N
setlhagisiwa	s E tlh a x i s i w a
setlhagodi	s E tlh a x O d i
setlhakanatlhogo	s E tlh a k> a n a tlh O x O
setlhakatlhakeng	s E tlh a k> a tlh a k> E N
setlhaketlhake	s E tlh a k> E tlh a k> E
setlhako	s E tlh a k> O
setlhamong	s E tlh a m O N
setlhana	s E tlh a n a
setlhangwa	s E tlh a N w a
setlhangweng	s E tlh a N w E N
setlhareng	s E tlh a r E N
setlhare	s E tlh a r E
setlha	s E tlh a
setlhefala	s E tlh E f a l a
setlheng	s E tlh E N
setlhe	s E tlh E
setlhoa	s E tlh O a
setlhobogwa	s E tlh O b O x w a
setlhodi	s E tlh O d i
setlhoeng	s E tlh O E N
setlhogong	s E tlh O x O N
setlhogo	s E tlh O x O
setlhogwana	s E tlh O x w a n a
setlhokwa	s E tlh O k> w a
setlhong	s E tlh O N
setlhongwa	s E tlh O N w a
setlhophana	s E tlh O ph a n a
setlhophanyana	s E tlh O ph a J a n a
setlhopha	s E tlh O ph a
setlhotlheletsi	s E tlh O tlh E l E ts> i
setlhotshwana	s E tlh O tsh w a n a
setlhotshwaneng	s E tlh O tsh w a n E N
setlisamadi	s E tl> i s a m a d i
setlogolo	s E tl> O x O l O
setlogolwana	s E tl> O x O l w a n a
setlwaeding	s E tl> w a E d i N
setlwaedi	s E tl> w a E d i
setofong	s E t> O f O N
setofo	s E t> O f O
setona	s E t> O n a
setopong	s E t> O p> O N
setopo	s E t> O p> O
setorong	s E t> O r O N
setoropo	s E t> O r O p> O
setoro	s E t> O r O
setoto	s E t> O t> O
setsabakedi	s E ts> a b a k> E d i
setseng	s E ts> E N
setse	s E ts> E
setšhabeng	s E tSh a b E N
setsha	s E tsh a
setshegetsi	s E tsh E x E ts> i
setshegonyana	s E tsh E x O J a n a
setshego	s E tsh E x O
setshegwana	s E tsh E x w a n a
setsheng	s E tsh E N
setsholetsathoto	s E tsh O l E ts> a th O t> O
setsholetsing	s E tsh O l E ts> i N
setsholetsi	s E tsh O l E ts> i
setsholwa	s E tsh O l w a
setšhuu	s E tSh u u
setshwano	s E tsh w a n O
setshwantshong	s E tsh w a n tsh O N
setshwantsho	s E tsh w a n tsh O
setshwao	s E tsh w a O
setshwari	s E tsh w a r i
setshwaro	s E tsh w a r O
setsidifatsing	s E ts> i d i f a ts> i N
setsidifatsi	s E ts> i d i f a ts> i
setsonga	s E ts> O N a
setsong	s E ts> O N
setswaki	s E ts> w a k> i
setswalo	s E ts> w a l O
setsweng	s E ts> w E N
setswe	s E ts> w E
setuki	s E t> u k> i
setulo	s E t> u l O
setu	s E t> u
sevenda	s E b E n d a
sewelo	s E w E l O
seyalemowa	s E j a l E m O w a
seyalemoweng	s E j a l E m O w E N
siamang	s i a m a N
siama	s i a m a
siamelang	s i a m E l a N
siamela	s i a m E l a
siamele	s i a m E l E
siameng	s i a m E N
siame	s i a m E
siametseng	s i a m E ts> E N
siametse	s i a m E ts> E
siametswe	s i a m E ts> w E
siamisang	s i a m i s a N
siamisa	s i a m i s a
siamiseditswe	s i a m i s E d i ts> w E
siamisediwa	s i a m i s E d i w a
siamise	s i a m i s E
siamisetsa	s i a m i s E ts> a
siamisitse	s i a m i s i ts> E
siamisitswe	s i a m i s i ts> w E
siamisiwa	s i a m i s i w a
siamisiwe	s i a m i s i w E
siamololela	s i a m O l O l E l a
siana	s i a n a
sianela	s i a n E l a
siane	s i a n E
sianisitse	s i a n i s i ts> E
sia	s i a
siilweng	s i i l w E N
sikarang	s i k> a r a N
sikara	s i k> a r a
sikare	s i k> a r E
sikarwang	s i k> a r w a N
sikarwa	s i k> a r w a
sikeng	s i k> E N
sikologa	s i k> O l O x a
sikologe	s i k> O l O x E
sila	s i l a
silega	s i l E x a
silegeng	s i l E x E N
silegileng	s i l E x i l E N
sileng	s i l E N
siling	s i l i N
silintara	s i l i n t> a r a
silwa	s i l w a
simega	s i m E x a
simologang	s i m O l O x a N
simologa	s i m O l O x a
simologile	s i m O l O x i l E
simololang	s i m O l O l a N
simolola	s i m O l O l a
simololeng	s i m O l O l E N
simolole	s i m O l O l E
simololwang	s i m O l O l w a N
simololwa	s i m O l O l w a
simolotseng	s i m O l O ts> E N
simolotse	s i m O l O ts> E
sirang	s i r a N
sira	s i r a
sireletsang	s i r E l E ts> a N
sireletsa	s i r E l E ts> a
sireletsege	s i r E l E ts> E x E
sireletswa	s i r E l E ts> w a
sisa	s i s a
sisibetse	s i s i b E ts> E
sisimoga	s i s i m O x a
sisimosang	s i s i m O s a N
sita	s i t> a
sitisang	s i t> i s a N
sitisa	s i t> i s a
sitlhamololela	s i tlh a m O l O l E l a
sitlholola	s i tlh O l O l a
sitlhololela	s i tlh O l O l E l a
sitsweng	s i ts> w E N
sobokantse	s O b O k> a n ts> E
sobokantsweng	s O b O k> a n ts> w E N
sobokantswe	s O b O k> a n ts> w E
sobokanyang	s O b O k> a J a N
sobokanya	s O b O k> a J a
sobokanye	s O b O k> a J E
sofeng	s O f E N
sokameng	s O k> a m E N
sokamisang	s O k> a m i s a N
sokasokana	s O k> a s O k> a n a
sokeletsa	s O k> E l E ts> a
sokodisa	s O k> O d i s a
sokologa	s O k> O l O x a
sokologile	s O k> O l O x i l E
sokotse	s O k> O ts> E
sola	s O l a
solegelang	s O l E x E l a N
solegela	s O l E x E l a
solegele	s O l E x E l E
solegelwang	s O l E x E l w a N
solegelwa	s O l E x E l w a
solofeditseng	s O l O f E d i ts> E N
solofeditse	s O l O f E d i ts> E
solofeditsweng	s O l O f E d i ts> w E N
solofeditswe	s O l O f E d i ts> w E
solofediwa	s O l O f E d i w a
solofelang	s O l O f E l a N
solofela	s O l O f E l a
solofele	s O l O f E l E
solofelwang	s O l O f E l w a N
solofelwa	s O l O f E l w a
solofelwe	s O l O f E l w E
solofetsang	s O l O f E ts> a N
solofetsa	s O l O f E ts> a
solofetseng	s O l O f E ts> E N
solofetse	s O l O f E ts> E
solofetsweng	s O l O f E ts> w E N
solofetswe	s O l O f E ts> w E
somaamane	s O m a m a n E
somaamararo	s O m a m a r a r O
somaamarataro	s O m a m a r a t> a r O
somamabedinngwe	s O m a m a b E d i n N w E
somamatlhano	s O m a m a tlh a n O
somarelang	s O m a r E l a N
somarela	s O m a r E l a
somarelegile	s O m a r E l E x i l E
somareleng	s O m a r E l E N
somarele	s O m a r E l E
somarelwang	s O m a r E l w a N
somarelwa	s O m a r E l w a
somaretswe	s O m a r E ts> w E
somenne	s O m E n n E
somenngwe	s O m E n N w E
somepedi	s O m E p> E d i
somerobedi	s O m E r O b E d i
somerobong	s O m E r O b O N
somerobongwe	s O m E r O b O N w E
sometharo	s O m E th a r O
somethataro	s O m E th a t> a r O
sometlhano	s O m E tlh a n O
somoga	s O m O x a
somola	s O m O l a
somole	s O m O l E
sona	s O n a
sone	s O n E
sonobolomong	s O n O b O l O m O N
sonobolomo	s O n O b O l O m O
sontageng	s O n t> a x E N
sosi	s O s i
sosobana	s O s O b a n a
sosobanya	s O s O b a J a
sosobanye	s O s O b a J E
sosologile	s O s O l O x i l E
sotlaka	s O tl> a k> a
sotlakeng	s O tl> a k> E N
sotlang	s O tl> a N
sotla	s O tl> a
sotlega	s O tl> E x a
sotlegelang	s O tl> E x E l a N
sotlegile	s O tl> E x i l E
sotlhe	s O tlh E
sotlileng	s O tl> i l E N
sotlilweng	s O tl> i l w E N
sotlilwe	s O tl> i l w E
sotliwang	s O tl> i w a N
sotliwa	s O tl> i w a
sotlwa	s O tl> w a
suba	s u b a
suga	s u x a
sugiwa	s u x i w a
sugwa	s u x w a
sukiring	s u k> i r i N
sukiri	s u k> i r i
sulafalelwa	s u l a f a l E l w a
sulafaletswe	s u l a f a l E ts> w E
suleng	s u l E N
sule	s u l E
suma	s u m a
sumo	s u m O
sunetsa	s u n E ts> a
sunya	s u J a
supana	s u p> a n a
supang	s u p> a N
supa	s u p> a
supediwa	s u p> E d i w a
supelwang	s u p> E l w a N
supe	s u p> E
supetsang	s u p> E ts> a N
supetsa	s u p> E ts> a
supetse	s u p> E ts> E
supetswa	s u p> E ts> w a
supileng	s u p> i l E N
supile	s u p> i l E
supilweng	s u p> i l w E N
supilwe	s u p> i l w E
supiwang	s u p> i w a N
supiwa	s u p> i w a
supiwe	s u p> i w E
supolola	s u p> O l O l a
susumela	s u s u m E l a
susumetsang	s u s u m E ts> a N
susumetsa	s u s u m E ts> a
susu	s u s u
sutang	s u t> a N
suta	s u t> a
sutasuta	s u t> a s u t> a
sutela	s u t> E l a
sutele	s u t> E l E
suteng	s u t> E N
sute	s u t> E
sutisang	s u t> i s a N
sutisa	s u t> i s a
sutiseditsweng	s u t> i s E d i ts> w E N
sutisediwang	s u t> i s E d i w a N
sutisediwa	s u t> i s E d i w a
sutiseng	s u t> i s E N
sutisetsa	s u t> i s E ts> a
sutisiwang	s u t> i s i w a N
sutisiwa	s u t> i s i w a
sutlhang	s u tlh a N
sutlha	s u tlh a
sutlhelela	s u tlh E l E l a
sutlhe	s u tlh E
sutu	s u t> u
swaa	s w a
swabang	s w a b a N
swaba	s w a b a
swabileng	s w a b i l E N
swabisang	s w a b i s a N
swabisa	s w a b i s a
swabise	s w a b i s E
swabisitse	s w a b i s i ts> E
swang	s w a N
swa	s w a
swedietega	s w E d i E t> E x a
sweditseng	s w E d i ts> E N
sweditse	s w E d i ts> E
sweditsweng	s w E d i ts> w E N
sweditswe	s w E d i ts> w E
swediwa	s w E d i w a
swediweng	s w E d i w E N
swela	s w E l a
swelela	s w E l E l a
swele	s w E l E
swelwa	s w E l w a
swe	s w E
swetsang	s w E ts> a N
swetsa	s w E ts> a
swetseng	s w E ts> E N
swetse	s w E ts> E
swetswa	s w E ts> w a
swetswe	s w E ts> w E
sweu	s w E u
tabogang	t> a b O x a N
taboga	t> a b O x a
tabogela	t> a b O x E l a
tabogele	t> a b O x E l E
taboge	t> a b O x E
tabogile	t> a b O x i l E
tabogisa	t> a b O x i s a
tadi	t> a d i
taelong	t> a E l O N
taelo	t> a E l O
tafoleng	t> a f O l E N
tafole	t> a f O l E
tagang	t> a x a N
tagilweng	t> a x i l w E N
tagilwe	t> a x i l w E
tagi	t> a x i
tagiwa	t> a x i w a
tagwang	t> a x w a N
tagwa	t> a x w a
taka	t> a k> a
takilweng	t> a k> i l w E N
takilwe	t> a k> i l w E
tako	t> a k> O
talafaditse	t> a l a f a d i ts> E
talana	t> a l a n a
tala	t> a l a
talelo	t> a l E l O
taletsong	t> a l E ts> O N
taletso	t> a l E ts> O
tamong	t> a m O N
tane	t> a n E
tanka	t> a n k> a
tankeng	t> a n k> E N
tanya	t> a J a
taolelong	t> a O l E l O N
taolelo	t> a O l E l O
taolong	t> a O l O N
taolo	t> a O l O
tataisa	t> a t> a i s a
tatelang	t> a t> E l a N
tatelanong	t> a t> E l a n O N
tatelano	t> a t> E l a n O
tatelelo	t> a t> E l E l O
tatelong	t> a t> E l O N
tatlhegelong	t> a tlh E x E l O N
tatlhegelo	t> a tlh E x E l O
tatlhegong	t> a tlh E x O N
tatlhego	t> a tlh E x O
tatlho	t> a tlh O
tatofatsong	t> a t> O f a ts> O N
tatofatso	t> a t> O f a ts> O
tatso	t> a ts> O
taunyane	t> a u J a n E
tayari	t> a j a r i
taya	t> a j a
teatere	t> E a t> E r E
tebagano	t> E b a x a n O
tebaganyo	t> E b a x a J O
tebang	t> E b a N
tebanyo	t> E b a J O
tebegong	t> E b E x O N
tebego	t> E b E x O
tebelane	t> E b E l a n E
tebela	t> E b E l a
tebelelo	t> E b E l E l O
tebelopele	t> E b E l O p> E l E
tebelo	t> E b E l O
tebileng	t> E b i l E N
tebiso	t> E b i s O
tebogo	t> E b O x O
tebong	t> E b O N
tebo	t> E b O
tedu	t> E d u
teeletsweng	t> E E l E ts> w E N
tefamorwalo	t> E f a m O r w a l O
tefelo	t> E f E l O
tefiso	t> E f i s O
tefo	t> E f O
teilweng	t> E i l w E N
tekanong	t> E k> a n O N
tekano	t> E k> a n O
tekanyetsokabong	t> E k> a J E ts> O k> a b O N
tekanyetsokabo	t> E k> a J E ts> O k> a b O
tekanyetsong	t> E k> a J E ts> O N
tekanyetso	t> E k> a J E ts> O
tekanyong	t> E k> a J O N
tekanyo	t> E k> a J O
tekatekanong	t> E k> a t> E k> a n O N
tekatekano	t> E k> a t> E k> a n O
tekatekanyo	t> E k> a t> E k> a J O
tekatlhaloganyo	t> E k> a tlh a l O x a J O
tekelelong	t> E k> E l E l O N
tekelelo	t> E k> E l E l O
tekeletso	t> E k> E l E ts> O
tekelo	t> E k> E l O
tekesi	t> E k> E s i
tekolo	t> E k> O l O
tekong	t> E k> O N
teko	t> E k> O
telejana	t> E l E d0Z a n a
teleko	t> l E k> O
telele	t> E l E l E
teleletelele	t> E l E l E t> E l E l E
temakgang	t> E m a kx a N
temana	t> E m a n a
temaneng	t> E m a n E N
tema	t> E m a
tematheto	t> E m a th E t> O
temego	t> E m E x O
temekang	t> E m E k> a N
temeng	t> E m E N
temogong	t> E m O x O N
temogo	t> E m O x O
temokerasing	t> E m O k> E r a s i N
temokerasi	t> E m O k> E r a s i
temong	t> E m O N
temoso	t> E m O s O
temo	t> E m O
temothuong	t> E m O th u O N
temothuo	t> E m O th u O
tenang	t> E n a N
tena	t> E n a
tenega	t> E n E x a
tenegile	t> E n E x i l E
tenego	t> E n E x O
teng	t> E N
tengteng	t> E N t> E N
tennyana	t> E n J a n a
tenteng	t> E n t> E N
teo	t> E O
tepatsatsi	t> E p> a ts> a ts> i
tepo	t> E p> O
teraka	t> E r a k> a
terakeng	t> E r a k> E N
teramakhutshwe	t> E r a m a kh u tsh w E
terama	t> E r a m a
terameng	t> E r a m E N
terapa	t> E r a p> a
teraseteng	t> E r a s E t> E N
terasete	t> E r a s E t> E
terata	t> E r a t> a
terateng	t> E r a t> E N
terekereng	t> E r E k> E r E N
terekere	t> E r E k> E r E
terena	t> E r E n a
terene	t> E r E n E
terese	t> E r E s E
tesekeng	t> E s E k> E N
teseke	t> E s E k> E
tesetamenteng	t> E s E t> a m E n t> E N
tesetamente	t> E s E t> a m E n t> E
teta	t> E t> a
teteano	t> E t> E a n O
tetelo	t> E t> E l O
teteselang	t> E t> E s E l a N
tetesela	t> E t> E s E l a
tetlano	t> E tl> a n O
tetlanyo	t> E tl> a J O
tetla	t> E tl> a
tetlelelong	t> E tl> E l E l O N
tetlelelo	t> E tl> E l E l O
tetlelo	t> E tl> E l O
tetlokhopi	t> E tl> O kh O p> i
tewang	t> E w a N
tewa	t> E w a
teye	t> E j E
thaa	th a a
thabang	th a b a N
thaba	th a b a
thabeng	th a b E N
thadile	th a d i l E
thadilweng	th a d i l w E N
thadisa	th a d i s a
thadisetsa	th a d i s E ts> a
thadisitsweng	th a d i s i ts> w E N
thadisitswe	th a d i s i ts> w E
thadisiwa	th a d i s i w a
thadisong	th a d i s O N
thadiso	th a d i s O
thadiwa	th a d i w a
thaegile	th a E x i l E
thaego	th a E x O
thaelesego	th a E l E S E x O
thaele	th a E l E
thaelong	th a E l O N
thaelo	th a E l O
thaereng	th a E r E N
thaere	th a E r E
thaetlele	th a E tl> E l E
thaetsweng	th a E ts> w E N
thaetswe	th a E ts> w E
thaiwa	th a i w a
thaka	th a k> a
thakgaletse	th a kx a l E ts> E
thaladikwe	th a l a d i k> w E
thala	th a l a
thalela	th a l E l a
thalele	th a l E l E
thaletsweng	th a l E ts> w E N
thalotlhakore	th a l O tlh a k> O r E
thalwa	th a l w a
thamaga	th a m a x a
thamela	th a m E l a
thamele	th a m E l E
thamong	th a m O N
thamo	th a m O
thanele	th a n E l E
thankga	th a n kx a
thanoding	th a n O d i N
thanodi	th a n O d i
thanolelo	th a n O l E l O
thanolong	th a n O l O N
thanolo	th a n O l O
thanthanyego	th a n th a J E x O
thantse	th a n ts> E
thanya	th a J a
thanye	th a J E
thaologo	th a O l O x O
thapama	th a p> a m a
thapameng	th a p> a m E N
thapamo	th a p> a m O
thapang	th a p> a N
thapa	th a p> a
thapelo	th a p> E l O
thapelwa	th a p> E l w a
thapeng	th a p> E N
thape	th a p> E
thapetswe	th a p> E ts> w E
thapileng	th a p> i l E N
thapile	th a p> i l E
thapilweng	th a p> i l w E N
thapilwe	th a p> i l w E
thapiwang	th a p> i w a N
thapiwa	th a p> i w a
thapiwe	th a p> i w E
thapolo	th a p> O l O
thapong	th a p> O N
thapo	th a p> O
thapotswe	th a p> O ts> w E
tharaano	th a r a n O
tharabololong	th a r a b O l O l O N
tharabololo	th a r a b O l O l O
tharing	th a r i N
thari	th a r i
tharong	th a r O N
tharo	th a r O
thatafaditse	th a t> a f a d i ts> E
thatafala	th a t> a f a l a
thatafaletsang	th a t> a f a l E ts> a N
thatafalo	th a t> a f a l O
thatafatsang	th a t> a f a ts> a N
thatafatsa	th a t> a f a ts> a
thatafetseng	th a t> a f E ts> E N
thatafetse	th a t> a f E ts> E
thatanong	th a t> a n O N
thatano	th a t> a n O
thatanyana	th a t> a J a n a
thataro	th a t> a r O
thata	th a t> a
thatathata	th a t> a th a t> a
thateng	th a t> E N
thathamologelong	th a th a m O l O x E l O N
thathamologelo	th a th a m O l O x E l O
thatong	th a t> O N
thato	th a t> O
thaya	th a j a
thebela	th E b E l a
thebe	th E b E
thebolo	th E b O l O
theeletsa	th E E l E ts> a
theetsong	th E E ts> O N
theetso	th E E ts> O
thefosanong	th E f O s a n O N
thefosano	th E f O s a n O
thefosanyong	th E f O s a J O N
thefosanyo	th E f O s a J O
theileng	th E i l E N
theile	th E i l E
theilweng	th E i l w E N
theilwe	th E i l w E
theipi	th E i p> i
theiwa	th E i w a
theiwe	th E i w E
thekeletso	th E k> E l E ts> O
thekeniki	th E k> E n i k> i
thekenolojing	th E k> E n O l O d0Z i N
thekenoloji	th E k> E n O l O d0Z i
thekeselang	th E k> E s E l a N
thekesi	th E k> E s i
thekete	th E k> E t> E
thekethe	th E k> E th E
thekising	th E k> i s i N
thekisi	th E k> i s i
thekisong	th E k> i s O N
thekiso	th E k> i s O
thekokhiro	th E k> O kh i r O
thekong	th E k> O N
theko	th E k> O
thelebišeneng	th E l E b i S E n E N
thelela	th E l E l a
thelelo	th E l E l O
thelesetso	th E l E s E ts> O
theleso	th E l E s O
thelwa	th E l w a
themo	th E m O
thempereitšhara	th E m p> E r E i tSh a r a
thempereitšha	th E m p> E r E i tSh a
thentara	th E n t> a r a
theogetseng	th E O x E ts> E N
theogetse	th E O x E ts> E
thepe	th E p> E
therisano	th E r i s a n O
thetela	th E t> E l a
thetelelo	th E t> E l E l O
thete	th E t> E
thetologo	th E t> O l O x O
thibana	th i b a n a
thibaneng	th i b a n E N
thibane	th i b a n E
thibang	th i b a N
thibano	th i b a n O
thiba	th i b a
thibego	th i b E x O
thibelang	th i b E l a N
thibela	th i b E l a
thibelelang	th i b E l E l a N
thibelela	th i b E l E l a
thibelelwa	th i b E l E l w a
thibelelwe	th i b E l E l w E
thibeleng	th i b E l E N
thibele	th i b E l E
thibelong	th i b E l O N
thibelo	th i b E l O
thibelwang	th i b E l w a N
thibelwa	th i b E l w a
thibelwe	th i b E l w E
thibetsweng	th i b E ts> w E N
thibetswe	th i b E ts> w E
thibiwa	th i b i w a
thiboga	th i b O x a
thibolola	th i b O l O l a
thibololo	th i b O l O l O
thibosa	th i b O s a
thikga	th i kx a
thikitha	th i k> i th a
thini	th i n i
thipa	th i p> a
thite	th i t> E
thitokgang	th i t> O kx a N
thito	th i t> O
